season,country,page_name,value
2010-2011,belgium,Griep,177.60333205550575
2010-2011,belgium,Aziatische_griep,52.44255652814026
2010-2011,belgium,Azerbeidzjan,27.71593909035811
2010-2011,belgium,Afweer,24.74279045669216
2010-2011,belgium,Pulmonologie,24.553244242859588
2010-2011,belgium,Neuraminidase,21.96087237775471
2010-2011,belgium,Antigene_drift,15.277525525928242
2010-2011,belgium,Cytostaticum,14.54343773395816
2010-2011,belgium,Virulentie,10.571037088013307
2010-2011,belgium,Pandemrix,8.784221402336687
2010-2011,belgium,Virologie,8.33962208791948
2010-2011,belgium,Koude_rillingen,7.674770055601297
2010-2011,belgium,Pandemie,7.030744565261677
2010-2011,belgium,Virusinfectie,6.481955033401289
2010-2011,belgium,Aids,4.335759527410832
2010-2011,belgium,Griepprik,2.357475457249129
2010-2011,belgium,COPD,0.038463965246706894
2010-2011,belgium,Ebola,-1.233531772002521
2010-2011,belgium,Immuundeficiëntie,-3.4620585678750633
2010-2011,belgium,Borstvoeding,-3.8615525319091204
2010-2011,belgium,Pathogeen,-6.58997158117914
2010-2011,belgium,Hiv,-6.5924788881963075
2010-2011,belgium,Hong_Kong_griep,-7.63210996204789
2010-2011,belgium,Vogelgriep,-8.597254156935525
2010-2011,belgium,Eiwitmantel,-8.78656080505882
2010-2011,belgium,Hoest,-10.324063875169413
2010-2011,belgium,Hemagglutinine,-11.551557398764329
2010-2011,belgium,Eerste_Wereldoorlog,-13.886534700439054
2010-2011,belgium,Morbiditeitsgraad,-14.16289165355875
2010-2011,belgium,Hongkong,-15.504158760411919
2010-2011,belgium,Antigene_shift,-20.0874284714092
2010-2011,belgium,Mexicaanse_griep,-20.412923653075918
2010-2011,belgium,Bloedtransfusie,-32.549569361877005
2010-2011,belgium,Mortaliteit,-37.41817932899801
2010-2011,belgium,Spierpijn,-44.61811285646767
2010-2011,belgium,Keelpijn,-58.529996510437286
2010-2011,belgium,year,-70.55558915316341
2010-2011,belgium,month,-92.67783704844138
2011-2012,belgium,Griep,198.1924148547826
2011-2012,belgium,Aziatische_griep,39.40486617831787
2011-2012,belgium,Neuraminidase,29.44694967245362
2011-2012,belgium,Azerbeidzjan,23.56039904735068
2011-2012,belgium,Antigene_drift,20.18937396179669
2011-2012,belgium,Aids,19.72112036051486
2011-2012,belgium,Pulmonologie,17.10429809592266
2011-2012,belgium,Verkoudheid,16.84138003152848
2011-2012,belgium,Afweer,13.00765294400609
2011-2012,belgium,Griepprik,11.209516978594374
2011-2012,belgium,Spaanse_griep,8.605844763773565
2011-2012,belgium,COPD,8.197319166660284
2011-2012,belgium,Pandemrix,7.735983203058349
2011-2012,belgium,Pandemie,6.573759548447926
2011-2012,belgium,Amantadine,6.3869449862310415
2011-2012,belgium,Koude_rillingen,6.1907688169505315
2011-2012,belgium,Virologie,4.492548009538689
2011-2012,belgium,Virulentie,4.461631422273579
2011-2012,belgium,Hongkonggriep,4.00262266032851
2011-2012,belgium,Virusinfectie,2.3249742839469385
2011-2012,belgium,Darminfectie,1.6890128392641612
2011-2012,belgium,SARS,0.9574609045937053
2011-2012,belgium,Immuunsysteem,0.9240210919477517
2011-2012,belgium,Immuundeficiëntie,-0.880777637363256
2011-2012,belgium,Pathogeen,-0.9525861939703905
2011-2012,belgium,Opportunistische_infectie,-1.2040187734590366
2011-2012,belgium,H1N1,-1.378465356868862
2011-2012,belgium,Spierpijn,-2.431016851465794
2011-2012,belgium,Koude_rilling,-2.9548665320524155
2011-2012,belgium,Wereldgezondheidsorganisatie,-3.2657305274233206
2011-2012,belgium,Cytostaticum,-8.10678310720056
2011-2012,belgium,Morbiditeitsgraad,-9.897762291501044
2011-2012,belgium,Hoest,-11.182420550720579
2011-2012,belgium,Hiv,-12.490827966685785
2011-2012,belgium,Eiwitmantel,-13.182860235838238
2011-2012,belgium,Vogelgriep,-14.05314836999999
2011-2012,belgium,Hong_Kong_griep,-14.417547684502576
2011-2012,belgium,Hemagglutinine,-15.120873581934818
2011-2012,belgium,Bloedtransfusie,-15.392024128899749
2011-2012,belgium,Eerste_Wereldoorlog,-18.88009234082609
2011-2012,belgium,Antigene_shift,-20.405663586176527
2011-2012,belgium,Borstvoeding,-22.3381580267641
2011-2012,belgium,Hoofdpijn,-28.208757287316818
2011-2012,belgium,Mortaliteit,-32.513552378343995
2011-2012,belgium,Hongkong,-33.3306542857235
2011-2012,belgium,Mexicaanse_griep,-34.394945374737695
2011-2012,belgium,Keelpijn,-67.92212052789954
2011-2012,belgium,year,-80.91377965149717
2011-2012,belgium,month,-159.15306087246063
2012-2013,belgium,Griep,157.10067310307988
2012-2013,belgium,Aziatische_griep,44.22678641956291
2012-2013,belgium,Azerbeidzjan,32.0224584783759
2012-2013,belgium,Pulmonologie,19.1359820107702
2012-2013,belgium,Antigene_drift,18.334327455402505
2012-2013,belgium,Virulentie,16.13395937909773
2012-2013,belgium,Afweer,15.376537280190188
2012-2013,belgium,Pandemrix,11.791522661917048
2012-2013,belgium,Pandemie,10.571436697098811
2012-2013,belgium,Neuraminidase,10.241446029459427
2012-2013,belgium,Virologie,2.9776554807545637
2012-2013,belgium,Varkensgriep,2.922033816572332
2012-2013,belgium,Amantadine,2.7524369050122073
2012-2013,belgium,Spaanse_griep,0.8955807431322907
2012-2013,belgium,Darminfectie,0.1317112224922763
2012-2013,belgium,Vogelgriep,-0.24641019622285906
2012-2013,belgium,Spierpijn,-1.8432343697144864
2012-2013,belgium,Koude_rilling,-1.9019581555596736
2012-2013,belgium,H2N2,-2.8633944359506844
2012-2013,belgium,Aviaire_influenza,-3.5553438921557445
2012-2013,belgium,Eiwitmantel,-4.385082470135696
2012-2013,belgium,Hiv,-4.543434334150412
2012-2013,belgium,Hemagglutinine,-5.674897587387534
