season,country,page_name,value
2008-2009,germany,Influenza-Schnelltest,5.960226998035325
2008-2009,germany,Grippe,1.6737496161805254
2008-2009,germany,Rifttalfieber,1.5540298127483252
2008-2009,germany,Peramivir,0.6993879691613906
2008-2009,germany,Pferdeinfluenza,0.6037904317681049
2008-2009,germany,Schweinegrippe-Impfung,0.5141698450190137
2008-2009,germany,Orthomyxoviridae,0.44296160065137175
2008-2009,germany,Neuraminidase,0.4239443275978425
2008-2009,germany,Allen_Welsh_Dulles,0.33965081455720386
2008-2009,germany,Reye-Syndrom,0.33923692568342184
2008-2009,germany,Lassafieber,0.2520882583732819
2008-2009,germany,MMW-Fortschritte_der_Medizin,0.21951086679544965
2008-2009,germany,Stammzelltransplantation,0.21780491102383845
2008-2009,germany,Frühsommer-Meningoenzephalitis,0.21722737019234017
2008-2009,germany,Kohortenisolierung,0.19279605452408774
2008-2009,germany,Hongkong-Grippe,0.17098137533357446
2008-2009,germany,Influenza-A-Virus_H1N1,0.16499236055772146
2008-2009,germany,Sachsen-Anhalt,0.16445592411923118
2008-2009,germany,Pneumokokken,0.15101523191795752
2008-2009,germany,Impfkritik,0.12903180476546894
2008-2009,germany,GlaxoSmithKline,0.10502552812797185
2008-2009,germany,Neuraminidase-Hemmer,0.09316940951365581
2008-2009,germany,Zytokinsturm,0.09311424610815908
2008-2009,germany,Masern,0.09120201593838813
2008-2009,germany,Alexander_S._Kekulé,0.07245775396563624
2008-2009,germany,Impfung,0.06877696401707376
2008-2009,germany,Multiple_Sklerose,0.0601466830196011
2008-2009,germany,PH-Wert,0.05629246030037992
2008-2009,germany,Johannes_Paul_II.,0.04763435585218186
2008-2009,germany,Hygiene,0.03510258302965828
2008-2009,germany,Erkrankungen_des_Atmungssystems,0.034568582268757045
2008-2009,germany,Hausmittel,0.031045098169043155
2008-2009,germany,Influenzavirus,0.026603627055781853
2008-2009,germany,Influenza-A-Virus_H5N1,0.02637718257594091
2008-2009,germany,Schweineinfluenza,0.01728989408266937
2008-2009,germany,Berna_Biotech,0.016385286645871005
2008-2009,germany,Listeria_monocytogenes,0.013405592389966118
2008-2009,germany,Jakow_Michailowitsch_Swerdlow,0.0055097419704343625
2008-2009,germany,Antikörper,0.00011373127315180638
2008-2009,germany,Kapsid,-0.003677436145258685
2008-2009,germany,14._Februar,-0.006581841030797457
2008-2009,germany,Europäische_Schlafkrankheit,-0.008357000227815546
2008-2009,germany,Akute_Bronchitis,-0.009765993771807473
2008-2009,germany,Antigenerbsünde,-0.015993617402702
2008-2009,germany,Myokarditis,-0.01923063371881131
2008-2009,germany,Meningitis,-0.024258322635994662
2008-2009,germany,Pest,-0.027007260417984607
2008-2009,germany,Vogelgrippe_H5N1,-0.030392269088724153
2008-2009,germany,Charles_Tomlinson_Griffes,-0.03801617303419215
2008-2009,germany,Dilatative_Kardiomyopathie,-0.08755424744265945
2008-2009,germany,Schüttelfrost,-0.09139517025010506
2008-2009,germany,Proteomik,-0.10553746299556875
2008-2009,germany,Peru,-0.10810770811501667
2008-2009,germany,Pandemie_H1N1_2009/10,-0.11728736558827285
2008-2009,germany,Zecken,-0.12071929950111704
2008-2009,germany,Hoffmann-La_Roche,-0.12248351835222113
2008-2009,germany,Gelbfieber,-0.12719533716758508
2008-2009,germany,Coxsackie-Virus,-0.13150840031492575
2008-2009,germany,Cholecalciferol,-0.13804221807428851
2008-2009,germany,Hantaviren,-0.13943569814499945
2008-2009,germany,Zikavirus-Epidemie_2015/2016,-0.15302020012341325
2008-2009,germany,Respiratory-Syncytial-Virus,-0.1662504363222375
2008-2009,germany,1919,-0.173041032831149
2008-2009,germany,Selbstmedikation,-0.18658925733358167
2008-2009,germany,Lymphozytäre_Choriomeningitis,-0.21730939113332964
2008-2009,germany,Tilapia-Teich-Virus,-0.24107261854313985
2008-2009,germany,Theophyllin,-0.24122100652327347
2008-2009,germany,Pseudokrupp,-0.2536251402319585
2008-2009,germany,Influenzaimpfstoff,-0.26949627927313013
2008-2009,germany,Schmierinfektion,-0.2960288298030149
2008-2009,germany,Grippeimpfung,-0.4060398432752883
2008-2009,germany,Rhinitis,-0.45112548074929676
2008-2009,germany,RNA-Virus,-0.6134698398698921
2009-2010,germany,Influenza-Schnelltest,6.2491582888221435
2009-2010,germany,Rifttalfieber,1.3864038849383464
2009-2010,germany,Schweineinfluenza,0.6746788281875864
2009-2010,germany,Neuraminidase-Hemmer,0.3422251328138114
2009-2010,germany,Pferdeinfluenza,0.3352814035888719
2009-2010,germany,Neuraminidase,0.3106533009241325
2009-2010,germany,Reye-Syndrom,0.2370682771724082
2009-2010,germany,Masern,0.22840076451932972
2009-2010,germany,Sachsen-Anhalt,0.20382574004654894
2009-2010,germany,Allen_Welsh_Dulles,0.19510036985284926
2009-2010,germany,Lassafieber,0.18194541634787503
2009-2010,germany,Impfkritik,0.17945017543144476
2009-2010,germany,Frühsommer-Meningoenzephalitis,0.09739806617005366
2009-2010,germany,GlaxoSmithKline,0.06376088077312116
2009-2010,germany,Hongkong-Grippe,0.05934542478227266
2009-2010,germany,1977,0.041635114851005656
2009-2010,germany,Berna_Biotech,0.0142481373598057
2009-2010,germany,Peru,-0.007558512255908217
2009-2010,germany,Enzephalitis,-0.010670296440912204
2009-2010,germany,Dilatative_Kardiomyopathie,-0.020957481503051996
2009-2010,germany,Gelbfieber,-0.03056530007995187
2009-2010,germany,Influenzaimpfstoff,-0.03866304476604715
2009-2010,germany,Bertolt_Brecht,-0.04722950278572619
2009-2010,germany,Grippeimpfung,-0.051098599991807485
2009-2010,germany,Hantaviren,-0.05662180469186744
2009-2010,germany,Luftzug,-0.06132291537852387
2009-2010,germany,Schmierinfektion,-0.0766277953845091
2009-2010,germany,Europäische_Schlafkrankheit,-0.10497525513580179
2009-2010,germany,Antigenerbsünde,-0.15397581556350068
2009-2010,germany,Tilapia-Teich-Virus,-0.1799364445392202
2009-2010,germany,Coxsackie-Virus,-0.18267983502775628
2009-2010,germany,Pandemie_H1N1_2009/10,-0.18552370039931598
2009-2010,germany,Selbstmedikation,-0.19867283956409973
2009-2010,germany,Frettchen,-0.20508782452378443
2009-2010,germany,Theophyllin,-0.22158226833112846
2009-2010,germany,Pseudokrupp,-0.22364385558849062
2009-2010,germany,Hoffmann-La_Roche,-0.24512617362093084
2009-2010,germany,Lymphozytäre_Choriomeningitis,-0.3082277023414723
2009-2010,germany,RNA-Virus,-0.3350730731133738
2010-2011,germany,Influenza-Schnelltest,7.155150734027152
2010-2011,germany,Rifttalfieber,1.3681625328688034
2010-2011,germany,Antikörper,0.6810725031886846
2010-2011,germany,Pferdeinfluenza,0.6162687856025258
2010-2011,germany,Orthomyxoviridae,0.5174010662365461
2010-2011,germany,Peramivir,0.47129481767595766
2010-2011,germany,Inkubationszeit,0.4544769047136815
2010-2011,germany,Influenza-A-Virus_H1N1,0.43830146823646804
2010-2011,germany,Schweinegrippe-Impfung,0.43646513771628104
2010-2011,germany,Neuraminidase-Hemmer,0.4357089572505657
2010-2011,germany,Liste_der_Krankheiten_des_Atmungssystems_nach_ICD-10,0.3673579721765453
2010-2011,germany,Reye-Syndrom,0.3598594485372581
2010-2011,germany,Neuraminidase,0.35075523566384625
2010-2011,germany,Māori,0.3490457456302956
2010-2011,germany,Allen_Welsh_Dulles,0.26168616225113933
2010-2011,germany,Superinfektion,0.25446962293793246
2010-2011,germany,Sachsen-Anhalt,0.2505906057519464
2010-2011,germany,Impfkritik,0.21284847272061913
2010-2011,germany,1977,0.20671562722034545
2010-2011,germany,Resistenz,0.20234273073542539
2010-2011,germany,Pneumokokken,0.1920160711285296
2010-2011,germany,Asiatische_Grippe,0.19076857368723102
2010-2011,germany,Lassafieber,0.18746145878248788
2010-2011,germany,Masern,0.1867738888224434
2010-2011,germany,Frühsommer-Meningoenzephalitis,0.18241550032624754
2010-2011,germany,GlaxoSmithKline,0.18223170419256632
2010-2011,germany,Hongkong-Grippe,0.17449484667889886
2010-2011,germany,Paläoserologie,0.1738947339877663
2010-2011,germany,Alexander_S._Kekulé,0.15293452089270568
2010-2011,germany,Viren,0.14754495060499687
2010-2011,germany,Stammzelltransplantation,0.13959657142406692
2010-2011,germany,Zytokinsturm,0.13062889569491482
2010-2011,germany,Influenza-A-Virus_H5N1,0.11989456816443958
2010-2011,germany,PH-Wert,0.08718924781734183
2010-2011,germany,1920,0.07880696394160332
2010-2011,germany,Astrologie,0.07569940980582626
2010-2011,germany,Johannes_Paul_II.,0.07364923911470349
2010-2011,germany,Berna_Biotech,0.07110155591415868
2010-2011,germany,Tollwut,0.06818722865765087
2010-2011,germany,Multiple_Sklerose,0.06553843145581746
2010-2011,germany,Hausmittel,0.055209683464381085
2010-2011,germany,Hygiene,0.027636946056149272
2010-2011,germany,Adamantan,0.013884690673033604
2010-2011,germany,Immunsystem,0.013187969092803965
2010-2011,germany,1999,0.011633655277586058
2010-2011,germany,Antigendrift,0.008344010159836442
2010-2011,germany,Epidemien,0.0017777015207569035
2010-2011,germany,Patrick_Laidlaw,0.00010275810025648928
2010-2011,germany,Pseudokrupp,-0.0005117625862465383
2010-2011,germany,Kapsid,-0.007145736864570493
2010-2011,germany,Lebendimpfstoff,-0.008372349264824809
2010-2011,germany,Haussperling,-0.008408313825302086
2010-2011,germany,Europäische_Schlafkrankheit,-0.00862466483372541
2010-2011,germany,Allergie,-0.009342581967736668
2010-2011,germany,14._Februar,-0.013911932914077428
2010-2011,germany,RIG-I,-0.026243381805933042
2010-2011,germany,Vogelgrippe_H5N1,-0.02913220485727332
2010-2011,germany,Denguefieber,-0.03752978625268669
2010-2011,germany,Pest,-0.039090581689206566
2010-2011,germany,Charles_Tomlinson_Griffes,-0.04623097850208391
2010-2011,germany,Respiratory-Syncytial-Virus,-0.05758218018834677
2010-2011,germany,Luftzug,-0.06572177859388616
2010-2011,germany,Cholera,-0.08841337479334536
2010-2011,germany,Gelbfieber,-0.09374076694990596
2010-2011,germany,year,-0.09514419933754203
2010-2011,germany,Hantaviren,-0.11991031171363425
2010-2011,germany,Dilatative_Kardiomyopathie,-0.1222623254230468
2010-2011,germany,Coxsackie-Virus,-0.1382008618330442
2010-2011,germany,Cholecalciferol,-0.16607271444476568
2010-2011,germany,Verbreitung_von_H5N1,-0.16936619090879312
2010-2011,germany,Meningitis,-0.1815087789808933
2010-2011,germany,Proteomik,-0.21846816660696264
2010-2011,germany,Rhinitis,-0.22041537786265197
2010-2011,germany,Zecken,-0.22471051029671568
2010-2011,germany,Tilapia-Teich-Virus,-0.22661169743526516
2010-2011,germany,Hoffmann-La_Roche,-0.23395655084323133
2010-2011,germany,1957,-0.255269489667246
2010-2011,germany,Akute_Bronchitis,-0.25614342055652134
2010-2011,germany,Zikavirus-Epidemie_2015/2016,-0.26952327167288165
2010-2011,germany,Grippeimpfung,-0.2773226104891798
2010-2011,germany,Influenzaimpfstoff,-0.30152561520693244
2010-2011,germany,Antigenerbsünde,-0.30209115032947836
2010-2011,germany,Lymphozytäre_Choriomeningitis,-0.31097177705004614
2010-2011,germany,Virusinfektion,-0.31380318800755996
2010-2011,germany,RNA-Virus,-0.3335544218676923
2010-2011,germany,Selbstmedikation,-0.3660325064053532
2010-2011,germany,Schmierinfektion,-0.3927331398299456
2010-2011,germany,Pandemie_H1N1_2009/10,-0.5202233840502213
2010-2011,germany,1919,-0.5602991737069889
2010-2011,germany,Theophyllin,-0.5885568345865696
2010-2011,germany,Schüttelfrost,-1.5790929135340865
2011-2012,germany,Influenza-Schnelltest,7.0478201641008225
2011-2012,germany,Rifttalfieber,1.3936250525031622
2011-2012,germany,Antikörper,1.0399504641021453
2011-2012,germany,Peramivir,0.6443556313743201
2011-2012,germany,Multiple_Sklerose,0.5247801491020521
