season,country,predicted_influenza_peak,real_influenza_peak,predicted_influenza_peak_value,real_influenza_peak_value,mse,pcc,p_value
2008-2009,germany,2009-05,2009-06,21.975006402805338,6.08,77.06829385453081,0.7550715555915082,8.2696148047086e-06
2009-2010,germany,2009-46,2009-46,77.0911005722222,40.29,164.0985152274636,0.9325804953813691,4.113704250809705e-12
2010-2011,germany,2011-11,2011-06,3.196809087265372,7.86,8.593134914024548,0.5666723130175143,0.002542145381958014
2011-2012,germany,2012-05,2012-11,12.88159790730268,1.96,9.061611119680732,0.3533584693953917,0.07659379472104035
2012-2013,germany,2013-08,2013-08,11.503796196255056,11.11,3.357947850111939,0.8919774875327801,9.504365858243019e-10
2013-2014,germany,2014-13,2014-12,5.491199189312749,0.86,2.5264866053919097,0.8645823384037791,1.236245527499101e-08
2014-2015,germany,2015-08,2015-09,12.069298975742985,15.49,8.842862492433131,0.916338423274958,5.0361378829635816e-11
2015-2016,germany,2016-09,2016-11,8.677283425905653,11.06,9.449984780505103,0.6485585385987997,0.0003389594483203442
2016-2017,germany,2017-06,2017-06,18.342540403637294,19.91,17.528821097208493,0.7607137757242155,6.455144152810472e-06
2017-2018,germany,2018-09,2018-10,56.536408004452746,57.31,38.570328105935445,0.9455346587584984,3.400832755065733e-13
2018-2019,germany,2019-08,2019-08,27.604618875667107,23.6,15.323770742563596,0.8877094579397038,1.479073396304704e-09
