season,country,page_name,value
2008-2009,italy,Febbre,2.1438417145575035
2008-2009,italy,Tosse_post-virale,0.7749650580272914
2008-2009,italy,Sequenziamento_del_DNA,0.6775479037016102
2008-2009,italy,Virus_respiratorio_sinciziale_umano,0.5756159532929984
2008-2009,italy,Bronchite,0.5713322930221203
2008-2009,italy,Influenzavirus_A_sottotipo_H1N1,0.5112897736233534
2008-2009,italy,Vaccino_influenza_stagionale,0.4638018224577931
2008-2009,italy,Influenza_suina,0.36882017609373396
2008-2009,italy,Apparato_respiratorio,0.31469282761159717
2008-2009,italy,Malattia,0.2369241708875043
2008-2009,italy,Neoplasia,0.224502162690638
2008-2009,italy,Acido_sialico,0.20914818932362775
2008-2009,italy,Emoagglutinina,0.16214435925972562
2008-2009,italy,Vaccino_antinfluenzale,0.09531691210460888
2008-2009,italy,Epidemiologia,0.08725964089317129
2008-2009,italy,Genoma,0.07916246019357012
2008-2009,italy,Difterite,0.07783698246264216
2008-2009,italy,Aspirina,0.0668419431104075
2008-2009,italy,Bronchite_acuta,0.035286695685820164
2008-2009,italy,1918,0.02209414067431831
2008-2009,italy,Mineral_Miracle_Solution,0.013949916418496989
2008-2009,italy,Case_farmaceutiche,0.013536629362218486
2008-2009,italy,Infezione,0.012488918028943296
2008-2009,italy,Polmonite,0.01051646286152003
2008-2009,italy,Antrace,0.008663984460311884
2008-2009,italy,Neuraminidasi,0.0002906403757382963
2008-2009,italy,Cina,-0.00035261693763435784
2008-2009,italy,Omeopatia,-0.004300916839573711
2008-2009,italy,Malattia_di_Lyme,-0.005691121677244434
2008-2009,italy,Encefalomielite_acuta_disseminata,-0.009480044270551269
2008-2009,italy,Pandemia,-0.014972665224930515
2008-2009,italy,Oceano_Pacifico,-0.02565901120567987
2008-2009,italy,Morbillo,-0.029391742352510315
2008-2009,italy,Sesta_malattia,-0.03284382968086556
2008-2009,italy,Acido_acetilsalicilico,-0.03904757207288431
2008-2009,italy,Starnuto,-0.06482265105837455
2008-2009,italy,Ipoclorito_di_sodio,-0.07220538764466193
