season,country,predicted_influenza_peak,real_influenza_peak,predicted_influenza_peak_value,real_influenza_peak_value,mse,pcc,p_value
2008-2009,italy,2009-04,2009-04,10.901766846405739,8.23,1.907178271991118,0.9191885100837384,3.372703526506536e-11
2009-2010,italy,2009-45,2009-46,29.026501358369114,12.92,15.86078692200719,0.8360567103116041,1.0497714385616009e-07
2010-2011,italy,2011-03,2011-05,10.355503189065233,11.04,2.2927990010654287,0.909963901335885,1.1753897782472695e-10
2011-2012,italy,2012-05,2012-05,7.754251952916141,9.64,0.7463808227989287,0.9687133588078818,4.949069958744182e-16
2012-2013,italy,2013-04,2013-06,6.34529425976666,9.99,4.11682394465273,0.897757735079612,5.06603461809263e-10
2013-2014,italy,2014-03,2014-06,7.4886923640892835,6.67,14.008883589204373,0.7569681323204808,7.614522494462087e-06
2014-2015,italy,2015-04,2015-04,6.550364212886969,10.87,4.3726198836645915,0.9462883335171571,2.8884686657064574e-13
2015-2016,italy,2016-07,2016-08,4.038182497879942,6.14,2.181540096366285,0.8725261088774492,6.246304653135982e-09
2016-2017,italy,2017-01,2016-52,16.99883131060422,9.57,9.005144043338287,0.8895524156299354,1.2246582972194901e-09
2017-2018,italy,2018-01,2018-02,16.64417637274867,14.73,5.039249280099711,0.887371400246126,1.5306376974096635e-09
2018-2019,italy,2019-06,2019-05,11.657850076216569,14.03,2.5124129346826987,0.9425086060350424,6.405290335105033e-13
