season,country,page_name,value
2010-2011,netherlands,Griep,13.03752569852745
2010-2011,netherlands,Hongkonggriep,6.712361042215508
2010-2011,netherlands,Aziatische_griep,4.311088045032229
2010-2011,netherlands,Orthomyxovirus,3.098753266490052
2010-2011,netherlands,Koude_rillingen,3.032168082355224
2010-2011,netherlands,Amantadine,2.3148796402078973
2010-2011,netherlands,Influenzavirus_A,1.9064331663662288
2010-2011,netherlands,Pandemrix,1.709262221046944
2010-2011,netherlands,Virologie,1.5622945835742963
2010-2011,netherlands,Virulentie,1.1970412752755049
2010-2011,netherlands,Oseltamivir,0.8765934357249912
2010-2011,netherlands,Verkoudheid,0.334705818072584
2010-2011,netherlands,Antigene_drift,0.20985877240323444
2010-2011,netherlands,Griepprik,-0.4046512439277052
2010-2011,netherlands,Vaccin,-1.0554708271981494
2010-2011,netherlands,1960-1969,-1.0813905131033872
2010-2011,netherlands,Eerste_Wereldoorlog,-1.4642692199224685
2010-2011,netherlands,Vogelpest,-1.4758324154062292
2010-2011,netherlands,Marburgvirus,-1.6755485975489246
2010-2011,netherlands,Mortaliteit,-1.7040636782897154
2010-2011,netherlands,H2N2,-1.7577508907830564
2010-2011,netherlands,Immuundeficiëntie,-2.3191821645562407
2010-2011,netherlands,SARS,-2.539460039960444
2010-2011,netherlands,Hongkong,-2.662370144959165
2010-2011,netherlands,H1N1,-4.181744576125933
2010-2011,netherlands,year,-8.73239533761921
2010-2011,netherlands,Steenpuist,-9.177302039236528
2011-2012,netherlands,Griep,11.495459622747676
2011-2012,netherlands,Verkoudheid,8.980487929794117
2011-2012,netherlands,Hongkonggriep,6.1631030911603615
2011-2012,netherlands,Koude_rillingen,4.766992996808295
2011-2012,netherlands,Aziatische_griep,4.732043707792452
2011-2012,netherlands,Virologie,4.424317528584997
2011-2012,netherlands,Virulentie,4.056243223727547
2011-2012,netherlands,Influenzavirus_A,3.8458131170841146
2011-2012,netherlands,Amantadine,2.8227260032117227
2011-2012,netherlands,Pandemie,2.2846482004107287
2011-2012,netherlands,Pandemrix,1.8977107945403444
2011-2012,netherlands,Lijst_van_longziekten,1.8471464733252876
2011-2012,netherlands,Opportunistische_infectie,1.3726114914941672
2011-2012,netherlands,Oseltamivir,1.1092317749110203
2011-2012,netherlands,Orthomyxovirus,1.0804771320583844
2011-2012,netherlands,H5N1,0.9198573808736791
2011-2012,netherlands,Darminfectie,0.8959696703431883
2011-2012,netherlands,COPD,0.2616090633243564
