season,country,page_name,value
2015-2016,belgium,Koorts,171.42107840655876
2015-2016,belgium,week,65.78982880166274
2015-2016,belgium,Azerbeidzjan,54.135235573038095
2015-2016,belgium,Aziatische_griep,32.409022048730364
2015-2016,belgium,Mexicaanse_griep,32.180119665291116
2015-2016,belgium,Virulentie,27.526110783702332
2015-2016,belgium,Incubatieperiode,27.324397968396113
2015-2016,belgium,Hoofdpijn,16.569334067544915
2015-2016,belgium,Cytostaticum,7.462445458834921
2015-2016,belgium,Afweer,7.459378920579895
2015-2016,belgium,Virusinfectie,6.613599878254379
2015-2016,belgium,Griep,5.622880885025964
2015-2016,belgium,Darminfectie,1.3606288033269047
2015-2016,belgium,Vogelpest,1.3544107471331066
2015-2016,belgium,H7N9,-0.15091054495165704
2015-2016,belgium,Oseltamivir,-0.7529349439461547
2015-2016,belgium,Spierpijn,-1.1711897188976899
2015-2016,belgium,Varkensgriep,-2.0980723325181048
2015-2016,belgium,Hong_Kong_griep,-2.7825214485344767
2015-2016,belgium,Hongkonggriep,-2.8697483019106165
2015-2016,belgium,Hoesten,-3.476407826605744
2015-2016,belgium,Eiwitmantel,-3.9640825403113475
2015-2016,belgium,Borstvoeding,-4.693357088624856
2015-2016,belgium,Influenza,-5.554248550555557
2015-2016,belgium,Symptoom,-6.610106942248947
2015-2016,belgium,Immuundeficiëntie,-6.842913247410717
2015-2016,belgium,Infectie,-7.644620517146115
2015-2016,belgium,year,-12.044974762723397
2015-2016,belgium,Steenpuist,-12.53068389937843
2015-2016,belgium,Eerste_Wereldoorlog,-13.183267993217529
2015-2016,belgium,H5N2,-14.074166953050362
2015-2016,belgium,Mortaliteit,-16.09072714395103
2015-2016,belgium,Verkoudheid,-16.72184944360434
2015-2016,belgium,Immuunsysteem,-17.086552118379807
2015-2016,belgium,Bloedtransfusie,-20.0799628526262
2015-2016,belgium,Morbiditeitsgraad,-22.801945233636996
2015-2016,belgium,Neuraminidase,-23.39289078132614
2015-2016,belgium,Hoest,-33.0120692924246
2015-2016,belgium,Keelpijn,-33.48562686741835
2016-2017,belgium,Griep,94.66232903402242
2016-2017,belgium,Mexicaanse_griep,33.08899967610445
2016-2017,belgium,Azerbeidzjan,28.18588992788721
2016-2017,belgium,Pandemrix,21.226982862044178
2016-2017,belgium,Virulentie,15.964131616288572
2016-2017,belgium,Aziatische_griep,15.777762157904997
2016-2017,belgium,Virusinfectie,13.136894632610039
2016-2017,belgium,Diabetes_mellitus,-3.6965508065586827
2016-2017,belgium,Cytostaticum,-3.7812608168323756
2016-2017,belgium,Steenpuist,-4.322735680364212
2016-2017,belgium,Spierpijn,-6.395522390055391
2016-2017,belgium,Immuunsysteem,-7.598898671836644
2016-2017,belgium,Morbiditeitsgraad,-11.80761585462014
2016-2017,belgium,Mortaliteit,-29.197637356884073
2016-2017,belgium,year,-51.949842613496216
2017-2018,belgium,Griep,67.01388066646244
2017-2018,belgium,Mexicaanse_griep,31.18489103680203
2017-2018,belgium,Azerbeidzjan,27.546260031167257
2017-2018,belgium,Pandemrix,23.23720522280799
2017-2018,belgium,Aziatische_griep,1.9307292842250907
2017-2018,belgium,Diabetes_mellitus,-13.547495515177642
2017-2018,belgium,1960-1969,-14.564238858194729
2017-2018,belgium,year,-25.1833160663906
2018-2019,belgium,Koorts,194.97075233855188
2018-2019,belgium,Mexicaanse_griep,24.602606340231958
2018-2019,belgium,Virulentie,23.89992326280337
2018-2019,belgium,Spaanse_griep,22.596354113846633
2018-2019,belgium,Griep,19.9792206124799
2018-2019,belgium,Virologie,15.243327218532302
2018-2019,belgium,Aids,12.419494371529385
2018-2019,belgium,Neuraminidase,9.85452602433638
2018-2019,belgium,Pandemrix,9.13024034184024
2018-2019,belgium,Virusinfectie,5.616794880295328
2018-2019,belgium,Antigene_drift,5.459757918071405
2018-2019,belgium,Darminfectie,4.23142946487978
2018-2019,belgium,SARS,3.806140013302281
2018-2019,belgium,Vogelpest,3.6389177566606943
2018-2019,belgium,Hoofdpijn,0.7800845635253079
2018-2019,belgium,Hoesten,-0.8940019765827606
2018-2019,belgium,Wereldgezondheidsorganisatie,-2.1781166370103953
2018-2019,belgium,Incubatieperiode,-4.345146118078008
2018-2019,belgium,Symptoom,-4.693559902417346
2018-2019,belgium,Eiwitmantel,-7.058710834200998
2018-2019,belgium,Morbiditeitsgraad,-10.129438872695987
2018-2019,belgium,H7N9,-11.227534457859594
2018-2019,belgium,Vaccin,-12.246588760910106
2018-2019,belgium,Hong_Kong_griep,-12.819398288133927
2018-2019,belgium,Spierpijn,-15.126109522527658
2018-2019,belgium,Opportunistische_infectie,-17.88792018800082
2018-2019,belgium,Influenza,-18.78172423992488
2018-2019,belgium,Azerbeidzjan,-22.273681797829035
2018-2019,belgium,Mortaliteit,-30.243154360854025
2018-2019,belgium,Keelpijn,-34.65608999488956
2018-2019,belgium,Immuundeficiëntie,-37.893778552734105
2018-2019,belgium,year,-60.46925531067395
2018-2019,belgium,Hoest,-89.33165374087184
