season,country,page_name,value
2015-2016,germany,Influenza-Schnelltest,9.484842483214944
2015-2016,germany,Rifttalfieber,2.5518066078606636
2015-2016,germany,Pferdeinfluenza,0.7472745344584453
2015-2016,germany,Allen_Welsh_Dulles,0.4916639889202843
2015-2016,germany,Kohortenisolierung,0.4777888334177155
2015-2016,germany,Reye-Syndrom,0.40744692236972124
2015-2016,germany,Impfkritik,0.4009706964898322
2015-2016,germany,Stammzelltransplantation,0.32013088259269096
2015-2016,germany,Multiple_Sklerose,0.3112305922880087
2015-2016,germany,Neuraminidase,0.2541682905630011
2015-2016,germany,Hongkong-Grippe,0.12717336877691368
2015-2016,germany,Peru,0.11330887609570545
2015-2016,germany,Tollwut,0.04670394060141598
2015-2016,germany,Asiatische_Grippe,0.02986133262298662
2015-2016,germany,Eukalyptusöl,-0.04174928027104136
2015-2016,germany,Durchfall,-0.04244875453089461
2015-2016,germany,Hantaviren,-0.045246788365457806
2015-2016,germany,Proteomik,-0.06099942545951797
2015-2016,germany,Luftzug,-0.06928393023845707
2015-2016,germany,Astrologie,-0.08290710843989735
2015-2016,germany,Leitsymptom,-0.16786115796840645
2015-2016,germany,Coxsackie-Virus,-0.1754093224399755
2015-2016,germany,Zytokin,-0.20690557827354072
2015-2016,germany,RNA-Virus,-0.2614040313760429
2015-2016,germany,Zellkultur,-0.30498907236584305
2015-2016,germany,Zikavirus-Epidemie_2015/2016,-0.32401719227558673
2015-2016,germany,Frettchen,-0.7532180014150504
2016-2017,germany,Influenza-Schnelltest,7.461273300207322
2016-2017,germany,Rifttalfieber,2.6470769691958087
2016-2017,germany,Grippe,1.643375582812268
2016-2017,germany,Schweineinfluenza,1.1177691651410322
2016-2017,germany,Peru,0.7664557207278534
2016-2017,germany,Pferdeinfluenza,0.6225809552257846
2016-2017,germany,Impfkritik,0.47524865478268935
2016-2017,germany,Multiple_Sklerose,0.4082628380956209
2016-2017,germany,Stammzelltransplantation,0.34964641375223443
2016-2017,germany,Lassafieber,0.31591256576360816
2016-2017,germany,Kapsid,0.30925701301326175
2016-2017,germany,Orthomyxoviridae,0.3013214413900183
2016-2017,germany,Listeria_monocytogenes,0.2931228535452151
2016-2017,germany,Neuraminidase,0.2802261718449436
2016-2017,germany,Paläoserologie,0.261177491609587
2016-2017,germany,Reye-Syndrom,0.25294663613544516
2016-2017,germany,Tollwut,0.24102113352566454
2016-2017,germany,Jakow_Michailowitsch_Swerdlow,0.2338262336545925
2016-2017,germany,Geflügelpestschutzverordnung,0.2299596623444593
2016-2017,germany,Nationales_Referenzzentrum,0.19131355963617971
2016-2017,germany,Berna_Biotech,0.16986860108635551
2016-2017,germany,GlaxoSmithKline,0.11394301907921049
2016-2017,germany,Allen_Welsh_Dulles,0.0949186585630448
2016-2017,germany,Sachsen-Anhalt,0.07530211305858607
2016-2017,germany,Alexander_S._Kekulé,0.05966178736097942
2016-2017,germany,Myxoviren,0.04949840451579112
2016-2017,germany,Rimantadin,0.031800519516074696
2016-2017,germany,Virologie,0.026489591320380257
2016-2017,germany,Verbreitung_von_H5N1,0.008617437221458791
2016-2017,germany,Liste_der_unentbehrlichen_Arzneimittel_der_Weltgesundheitsorganisation,0.0006317593657428246
2016-2017,germany,Speichel,-0.005199818902690506
2016-2017,germany,Theophyllin,-0.005522592820584599
2016-2017,germany,Proteomik,-0.007982494338737128
2016-2017,germany,Weltgesundheitsorganisation,-0.015352949501914811
2016-2017,germany,Polymerase-Kettenreaktion,-0.02062673348901253
2016-2017,germany,Meningitis,-0.04097657379009044
2016-2017,germany,Robert_Koch,-0.055360365465357206
2016-2017,germany,Myositis,-0.05670937399293083
2016-2017,germany,Tilapia-Teich-Virus,-0.07532984114482631
2016-2017,germany,Sialinsäuren,-0.0785143894233909
2016-2017,germany,Hantaviren,-0.10041154179525297
2016-2017,germany,Lebendimpfstoff,-0.11192095935446356
2016-2017,germany,14._Februar,-0.12366834022020706
2016-2017,germany,Antigenerbsünde,-0.13932912267516898
2016-2017,germany,Leitsymptom,-0.29181424126872324
2016-2017,germany,Schwangerschaft,-0.3107940796834412
2016-2017,germany,RNA-Virus,-0.3216012831819582
2016-2017,germany,Nationaler_Pandemieplan,-0.36073388272280427
2016-2017,germany,Impfung,-0.4697565643351298
2016-2017,germany,Allergie,-0.5819159643915094
2016-2017,germany,Cholecalciferol,-0.6512007067170257
2016-2017,germany,year,-0.8988380963160827
2016-2017,germany,Schweinegrippe-Impfung,-0.9249385014596567
2016-2017,germany,Frettchen,-1.0571208649681458
2016-2017,germany,Durchfall,-1.7055648401621408
2017-2018,germany,Influenza-Schnelltest,4.57471820697513
2017-2018,germany,Grippe,1.6392201578649666
2017-2018,germany,Pferdeinfluenza,0.7447959061002236
2017-2018,germany,Multiple_Sklerose,0.651388851605729
2017-2018,germany,Nosokomiale_Infektion,0.5850468478371394
2017-2018,germany,Liste_der_unentbehrlichen_Arzneimittel_der_Weltgesundheitsorganisation,0.5372881276917675
2017-2018,germany,Stammzelltransplantation,0.5329094444618936
2017-2018,germany,Neuraminidase,0.5078972969106708
2017-2018,germany,Nationales_Referenzzentrum,0.46349463861420803
2017-2018,germany,Europäische_Schlafkrankheit,0.39881894241475896
2017-2018,germany,Kapsid,0.3617513498000758
2017-2018,germany,Hygiene,0.3560222278506419
2017-2018,germany,Neuraminidase-Hemmer,0.2878232538101486
2017-2018,germany,Sachsen-Anhalt,0.28530274091550073
2017-2018,germany,Impfkritik,0.26462283391060265
2017-2018,germany,Paläoserologie,0.2517815834155357
2017-2018,germany,Reye-Syndrom,0.21753174029188843
2017-2018,germany,Lassafieber,0.21492111917864604
2017-2018,germany,Bertolt_Brecht,0.18491107759935452
2017-2018,germany,West-Nil-Virus,0.1602171803983116
2017-2018,germany,Elektronenmikroskop,0.15219976112743433
2017-2018,germany,Epidemien,0.1122096088906971
2017-2018,germany,Hongkong-Grippe,0.10199470012071632
2017-2018,germany,1977,0.09120944112869929
2017-2018,germany,Virologie,0.08073829181749241
2017-2018,germany,Berna_Biotech,0.08029935680862268
2017-2018,germany,MMW-Fortschritte_der_Medizin,0.02691135140801324
2017-2018,germany,Johannes_Paul_II.,0.02584015761809909
2017-2018,germany,Orthomyxoviren,0.002613687894285234
2017-2018,germany,Infektionsepidemiologisches_Jahrbuch,-0.001581232920003374
2017-2018,germany,14._Februar,-0.005436349739086368
2017-2018,germany,Influenzapandemie,-0.006353100635274075
2017-2018,germany,Allen_Welsh_Dulles,-0.012511244222756492
2017-2018,germany,Schweinegrippe-Impfung,-0.017653010988756178
2017-2018,germany,Übersterblichkeit,-0.01883391409510401
2017-2018,germany,Orthomyxoviridae,-0.025734902450258865
2017-2018,germany,Schwangerschaft,-0.027331259985689128
2017-2018,germany,Cholera,-0.044844723412502015
2017-2018,germany,Myxoviren,-0.05445089527939256
2017-2018,germany,Klaus_Stöhr,-0.0596696864506847
2017-2018,germany,Hausmittel,-0.07077160157606538
2017-2018,germany,Richard_Shope,-0.11027277926291203
2017-2018,germany,Proteomik,-0.11239547692710693
