week,Febbre,Tosse_post-virale,Influenzavirus_A_sottotipo_H1N1,Subsalicilato_di_bismuto,Bronchite_acuta,Conseguenze_della_prima_guerra_mondiale,Fattore_di_rischio,week,Pandemia_influenzale,Virus_a_RNA
2018-42,-0.2730356300141576,-0.18422090729783036,-0.0801200043737357,-0.3210470085470085,-0.16359434764130898,-0.3623013824356106,-0.2854913411196134,0.3431372549019608,-0.2609393992012502,-0.36139774859287055
2018-43,-0.27265219443133554,-0.22524654832347138,-0.07827210103329506,-0.3177790346907994,-0.17372326108513955,-0.3667756553662594,-0.31952275473217884,0.3627450980392157,-0.2722260809168258,-0.3641077756931415
2018-44,-0.2819824602800063,-0.209861932938856,-0.07628205128205127,-0.3439228255404726,-0.20595162204278228,-0.335455744851718,-0.2933447442609747,0.38235294117647056,-0.2225646813682931,-0.35868772149259953
2018-45,-0.2784037281736668,-0.19960552268244575,-0.07983571155212946,-0.35372674710910007,-0.20134757047740473,-0.2854930304594734,-0.3221405557792993,0.4019607843137255,-0.23610869942698384,-0.35055764019178653
2018-46,-0.28044871794871795,-0.22524654832347138,-0.07571346563883877,-0.2916352438411262,-0.2087140529820088,-0.2884758790799059,-0.23575312122432546,0.4215686274509804,-0.22707935405452334,-0.37765791119449654
2018-47,-0.2704793927953437,-0.22524654832347138,-0.0801200043737357,-0.3341189039718451,-0.22713025924351893,-0.1490277060746859,-0.21481071284736208,0.4411764705882353,-0.27448341725994096,-0.32345736918907647
2018-48,-0.26408879974830896,-0.209861932938856,-0.07898283308731069,-0.31451106083459024,-0.19858513953817822,-0.19749899615671426,-0.251459927507048,0.46078431372549017,-0.20902066330960234,-0.32345736918907647
2018-49,-0.26894565046405533,-0.23550295857988163,-0.07656634410365754,-0.30797511312217196,-0.1949018982858762,-0.1773647679687948,-0.31690495368505844,0.4803921568627451,-0.24965271748567458,-0.3288774233896185
2018-50,-0.2599988201982067,-0.22011834319526624,-0.07827210103329506,-0.24915158371040724,-0.1930602776597252,-0.1699076464177135,-0.3509363672976239,0.5,-0.25642472651501996,-0.17982593287471335
2018-51,-0.27329125373603896,-0.23037475345167652,-0.082678639768192,-0.19032805429864252,-0.1387324691882703,-0.20570182986290367,-0.33784736206202176,0.5196078431372549,-0.19773398159402672,-0.36139774859287055
2018-52,-0.3021767343086361,-0.20473372781065088,-0.08367366464381389,-0.33738687782805427,-0.20503081172970677,-0.40107841450123327,-0.44517720499395896,0.5392156862745098,-0.25868206285813505,-0.4210183447988326
2019-01,-0.23814299197734778,-0.20473372781065088,-0.06917473074189491,-0.3569947209653092,-0.11387059073523163,-0.09160787013136004,-0.26454893274265007,-0.46078431372549017,-0.18870463622156622,-0.36952782989368355
