season,country,page_name,value
2015-2016,netherlands,Koorts,18.588610442620485
2015-2016,netherlands,Griep,11.108184122699438
2015-2016,netherlands,Opportunistische_infectie,3.554654421799515
2015-2016,netherlands,Azerbeidzjan,2.7241853731391856
2015-2016,netherlands,Hemagglutinine,2.6847612628164157
2015-2016,netherlands,Immuunsysteem,2.5667259676708327
2015-2016,netherlands,Virulentie,2.3604646399783147
2015-2016,netherlands,Aziatische_griep,1.6760498281249618
2015-2016,netherlands,Influenzavirus_A,0.6142312523072914
2015-2016,netherlands,Darminfectie,0.5709505140637774
2015-2016,netherlands,Spaanse_griep,0.55141037905408
2015-2016,netherlands,Infectieziekte,0.4518804254304116
2015-2016,netherlands,H1N1,-0.024977911930037174
2015-2016,netherlands,Hoesten,-0.10025779326995647
2015-2016,netherlands,SARS,-0.3008134425855174
2015-2016,netherlands,Spierpijn,-0.34292659734945646
2015-2016,netherlands,H7N9,-0.5754330583621744
2015-2016,netherlands,Hong_Kong_griep,-1.0401194611570461
2015-2016,netherlands,Pandemrix,-1.2262638531101657
2015-2016,netherlands,Varkensgriep,-1.3259360263567133
2015-2016,netherlands,Symptoom,-2.2985312637351933
2015-2016,netherlands,Wereldgezondheidsorganisatie,-2.7688809541063804
2015-2016,netherlands,Mortaliteit,-3.318231109419572
2015-2016,netherlands,1960-1969,-3.7464029201141145
2015-2016,netherlands,Hoofdpijn,-3.960358204398315
2015-2016,netherlands,H3N2,-4.1380111861366515
2015-2016,netherlands,Neuraminidase,-4.519072077654376
2015-2016,netherlands,year,-5.906542165109375
2015-2016,netherlands,H5N2,-6.4738766278348105
2015-2016,netherlands,Steenpuist,-12.31749528915299
2016-2017,netherlands,Griep,27.974477769218986
2016-2017,netherlands,Koorts,3.9251097783103006
2016-2017,netherlands,Virulentie,2.383483122383961
2016-2017,netherlands,Virologie,2.0640966632657243
2016-2017,netherlands,Pandemrix,1.4326834398168449
2016-2017,netherlands,Infectieziekte,0.826594787648382
2016-2017,netherlands,Incubatieperiode,0.5378207627812815
2016-2017,netherlands,Virusinfectie,0.10044269046485449
2016-2017,netherlands,H1N1,-0.04062091813651607
2016-2017,netherlands,Bloedtransfusie,-0.7478907944687424
2016-2017,netherlands,Mortaliteit,-1.0976184343714361
2016-2017,netherlands,H7N9,-1.1518117695283467
2016-2017,netherlands,Hoofdpijn,-1.8047496457406684
2016-2017,netherlands,Influenza,-2.3881934474355107
2016-2017,netherlands,Steenpuist,-2.9747774337220982
2016-2017,netherlands,1960-1969,-3.7442383537468533
2016-2017,netherlands,Hongkong,-4.117735806139393
2016-2017,netherlands,year,-4.5314893316568785
2017-2018,netherlands,Griep,16.207545363917916
2017-2018,netherlands,Pandemrix,3.178058872517895
2017-2018,netherlands,Incubatieperiode,2.2599360040970167
2017-2018,netherlands,Virologie,2.221036254021694
2017-2018,netherlands,Steenpuist,-0.03787331677161234
2017-2018,netherlands,Hongkong,-2.435461374568561
2017-2018,netherlands,1960-1969,-7.35566062903793
2018-2019,netherlands,Griep,22.881064511630857
2018-2019,netherlands,Mexicaanse_griep,10.796798511041837
2018-2019,netherlands,Virologie,1.0424188766049696
2018-2019,netherlands,Vogelgriep,0.6327656222297915
2018-2019,netherlands,Virulentie,0.5336646418681543
2018-2019,netherlands,Incubatieperiode,0.34747803700780117
2018-2019,netherlands,Hemagglutinine,0.15652854159185114
2018-2019,netherlands,Virusinfectie,0.08597075292271722
2018-2019,netherlands,Steenpuist,-0.42134276208915206
2018-2019,netherlands,Bloedtransfusie,-0.6559765693330472
2018-2019,netherlands,Griepprik,-0.8768619184433992
2018-2019,netherlands,Azerbeidzjan,-1.7893333928030142
2018-2019,netherlands,Mortaliteit,-2.2712649616700094
2018-2019,netherlands,year,-4.11793852470254
2018-2019,netherlands,Hoofdpijn,-5.05042640477431
2018-2019,netherlands,1960-1969,-7.198560475749867
