season,country,page_name,value
2010-2011,belgium,Griep,95.7231132747481
2010-2011,belgium,Salkvaccin,24.265417750842825
2010-2011,belgium,Cytokinestorm,23.833029549967698
2010-2011,belgium,Flavivirus,22.169549080973365
2010-2011,belgium,Tabaksringvlekvirus,18.572670698968395
2010-2011,belgium,Mexicaanse_griep,18.361258988616854
2010-2011,belgium,Lipothrixviridae,9.270014220511937
2010-2011,belgium,Rotavirus,7.930646509277922
2010-2011,belgium,Cyanovirus,4.518075327284909
2010-2011,belgium,Lassakoorts,1.7778000013269522
2010-2011,belgium,Ruimteziekte,-1.8872171582105477
2010-2011,belgium,Enterotoxine,-4.90355493660442
2010-2011,belgium,Stand_van_Bonnet,-4.90405317089477
2010-2011,belgium,Enterovirussen,-5.1995837343082645
2010-2011,belgium,Ligamenvirales,-6.743740424193542
2010-2011,belgium,Stress,-8.068917418801965
2010-2011,belgium,Geleidingsafasie,-8.373954194543215
2010-2011,belgium,Athetose,-8.592034845507392
2010-2011,belgium,Tabaksmozaïekvirus,-9.34393267169042
2010-2011,belgium,Coccidiose,-10.395184951000163
2010-2011,belgium,Blauwtongvirus,-11.793452268486961
2010-2011,belgium,Zikakoorts,-11.945927505794808
2010-2011,belgium,Oscillopsie,-13.093487430704615
2010-2011,belgium,Mozaïekvirus,-14.980414498316405
2010-2011,belgium,Visuele_agnosie,-26.208402081473
2010-2011,belgium,year,-79.39502352809592
2011-2012,belgium,Griep,76.89712078481601
2011-2012,belgium,Cytokinestorm,20.64295155289426
2011-2012,belgium,Salkvaccin,17.90859911733562
2011-2012,belgium,Flavivirus,16.476406295470966
2011-2012,belgium,Mexicaanse_griep,15.593054296986994
2011-2012,belgium,Tabaksringvlekvirus,14.367056551094716
2011-2012,belgium,Cyanovirus,3.0911024583577698
2011-2012,belgium,Lassakoorts,2.4801711696994877
2011-2012,belgium,Pus,0.7374497968619532
2011-2012,belgium,Bronchitis,-0.26079469445588793
2011-2012,belgium,Stand_van_Bonnet,-0.935155455020864
2011-2012,belgium,Zikakoorts,-1.8036250240187741
2011-2012,belgium,Enterotoxine,-1.863829940127297
2011-2012,belgium,Enterovirussen,-2.608177105576677
2011-2012,belgium,Geleidingsafasie,-4.67594041019006
2011-2012,belgium,Blauwtongvirus,-5.292574625566738
