season,country,page_name,value
2008-2009,germany,Impfstoff,3.4250745440946964
2008-2009,germany,Erkältung,3.3617423568440183
2008-2009,germany,Bradykardie,2.733851259455866
2008-2009,germany,Schüttelfrost,2.344210911559542
2008-2009,germany,Rhinosinusitis,1.130592429499316
2008-2009,germany,Modified-Vaccinia-Ankara-Virus,0.8727771614333854
2008-2009,germany,Fieber,0.8185032042720587
2008-2009,germany,FSME-Impfstoff,0.7131637817021445
2008-2009,germany,Remune,0.560627590363385
2008-2009,germany,Fieber_unklarer_Genese,0.49245827965697
2008-2009,germany,Allgemeininfektion,0.49105154763925946
2008-2009,germany,Obdormition,0.40143138382061216
2008-2009,germany,Lymphopenie,0.3117116602601428
2008-2009,germany,Sporotrichose,0.2977997284568895
2008-2009,germany,Fieberdelirium,0.25210224171950835
2008-2009,germany,Gliederschmerz,0.24952039725523203
2008-2009,germany,Haffkrankheit,0.2084656805706261
2008-2009,germany,Myoglobinurie,0.16536359593005032
2008-2009,germany,Lymphangitis,0.1592951058527362
2008-2009,germany,Toxoidimpfstoff,0.13262188073631048
2008-2009,germany,Zoonose,0.12154516900911949
2008-2009,germany,MMR-Impfstoff,0.11314999999882436
2008-2009,germany,Virusoid,0.08176147500835414
2008-2009,germany,Pruritus_ani,0.07571555398675671
2008-2009,germany,Viszeromegalie,0.015946294722611012
2008-2009,germany,Ischämie,0.0034300414814695908
2008-2009,germany,Metabolische_Alkalose,-0.011925451572888688
2008-2009,germany,Hypochromie,-0.03867446334941489
2008-2009,germany,Choleraepidemie_von_1892,-0.04031020641327576
2008-2009,germany,Tanganjika-Lachepidemie,-0.04593742805640543
2008-2009,germany,Viroid,-0.05292345638786898
2008-2009,germany,Achsensymptom,-0.0582233349579711
2008-2009,germany,Protothekose,-0.05897701173998005
2008-2009,germany,Winterbottom-Zeichen,-0.0762197252640365
2008-2009,germany,Choleraepidemie_in_Haiti_ab_2010,-0.07678013793458172
2008-2009,germany,Tetanie,-0.07880208261884371
2008-2009,germany,Englischer_Schweiß,-0.08241816891368021
2008-2009,germany,Madonnenfinger,-0.08923576139218753
2008-2009,germany,Dengue-Virus-Impfstoff,-0.09093944564536131
2008-2009,germany,Hiatus_leucaemicus,-0.0976191773982578
2008-2009,germany,Koprophagie,-0.10080731552004149
2008-2009,germany,Vergessen,-0.10833991135564788
2008-2009,germany,Dyschylie,-0.1326344395210109
2008-2009,germany,Vollmondgesicht,-0.13700225556895085
2008-2009,germany,Anthroponose,-0.14874158343853788
2008-2009,germany,year,-0.15489478233709103
2008-2009,germany,Attische_Seuche,-0.16326076874552414
2008-2009,germany,Symptomatologie,-0.1759962429381792
2008-2009,germany,Seitenstiche,-0.18745197099366112
2008-2009,germany,Tecemotide,-0.1886179523430313
2008-2009,germany,B-Symptomatik,-0.20535144023229943
2008-2009,germany,Zervizitis,-0.27407841659322896
2008-2009,germany,Marschhämoglobinurie,-0.27816824228768855
2008-2009,germany,Anorexie,-0.2858158521852908
2008-2009,germany,Pockenepidemie_in_Boston_1721,-0.31498209507971975
2008-2009,germany,Isosthenurie,-0.34835738965806473
2008-2009,germany,Hexenschuss,-0.35841131548114624
2008-2009,germany,Cholera-Aufstand_in_Königsberg,-0.3826500667359962
2008-2009,germany,Trachom,-0.43371694770857827
2008-2009,germany,Kachexie,-0.4438937718994705
2008-2009,germany,Claudicatio_intermittens,-0.4634254099027347
2008-2009,germany,Ebola-Impfstoff,-0.5203829949287353
2008-2009,germany,Tränendrüsenentzündung,-0.5570403810635689
2008-2009,germany,Diphtheroid,-0.5791354026118987
2008-2009,germany,Bürstenschädel,-0.6825254154201802
2008-2009,germany,Imbibition,-0.8434724912873635
2008-2009,germany,Neugeborenensepsis,-1.1083963820700324
2008-2009,germany,Schlafstörung,-1.1931900664373447
2008-2009,germany,Pyämie,-1.2398488671241836
2008-2009,germany,Azidose,-1.88472694440315
2009-2010,germany,Erkältung,6.746003300382402
2009-2010,germany,Bradykardie,2.5043523458151813
2009-2010,germany,FSME-Impfstoff,1.7360859531141366
2009-2010,germany,Modified-Vaccinia-Ankara-Virus,1.1574744221312248
2009-2010,germany,Fieber,0.8989248600523208
2009-2010,germany,Rhinosinusitis,0.7092602545663194
2009-2010,germany,MMR-Impfstoff,0.6309450143925446
2009-2010,germany,Parotitis,0.5694777294045662
2009-2010,germany,Schüttelfrost,0.5567300362793789
2009-2010,germany,Fieber_unklarer_Genese,0.5012563537527819
2009-2010,germany,Haffkrankheit,0.49112901417306326
2009-2010,germany,Ischämie,0.4604465919577288
2009-2010,germany,Obdormition,0.4540200039521956
2009-2010,germany,Remune,0.44070571599515457
2009-2010,germany,Palmarerythem,0.4176620801107229
2009-2010,germany,Akantholyse,0.38532891544785497
2009-2010,germany,Allgemeininfektion,0.36071379792537095
2009-2010,germany,Gliederschmerz,0.26399944084988886
2009-2010,germany,Myoglobinurie,0.25896791183002643
2009-2010,germany,Markerimpfstoff,0.2564088155905286
2009-2010,germany,Pruritus_ani,0.24406482507313243
2009-2010,germany,Fischwirbel,0.23016798757427967
2009-2010,germany,Fieberdelirium,0.22966157299144704
2009-2010,germany,Lackzunge,0.1782462407131153
2009-2010,germany,Protothekose,0.1769912305404636
2009-2010,germany,Potato-Spindle-Tuber-Viroid,0.17684640139325866
2009-2010,germany,Kahnbauch,0.17302284884989647
2009-2010,germany,Mikroalbuminurie,0.17079630454154054
2009-2010,germany,Dissimulation,0.14617337418122106
2009-2010,germany,Biologische_Schutzstufe,0.1426831121982888
2009-2010,germany,Virophagen,0.13957813557578078
2009-2010,germany,Harnwegsinfekt,0.12170254657805445
2009-2010,germany,Lymphopenie,0.11762461497124463
2009-2010,germany,Biologische_Sicherheitsstufe,0.10618460078798105
2009-2010,germany,SARS-assoziiertes_Coronavirus,0.10048359258842025
2009-2010,germany,Diphtherieepidemie_in_Nome,0.09517708355179243
2009-2010,germany,International_Society_of_Chemotherapy,0.07318038909898436
2009-2010,germany,Zoonose,0.07000213380091827
2009-2010,germany,Iridoviridae,0.05988327052025994
2009-2010,germany,Influenzaimpfstoff,0.055659618304547506
2009-2010,germany,Zohlen-Zeichen,0.05402950857029391
2009-2010,germany,Risus_sardonicus,0.05061332656959293
2009-2010,germany,Nonnensausen,0.049545551740835386
2009-2010,germany,HPV-Impfstoff,0.04788939302203956
2009-2010,germany,Peritonitis,0.035741737492786384
2009-2010,germany,Simulant,0.032694949020796456
2009-2010,germany,Peptidimpfstoff,0.029530175218744174
2009-2010,germany,Geonose,0.013092223678918088
2009-2010,germany,Infektion,0.012726608927650413
2009-2010,germany,Megalokornea,0.00812561534311034
2009-2010,germany,Sipuleucel-T,0.004411313718605314
2009-2010,germany,Winterbottom-Zeichen,-0.0028698145100928274
2009-2010,germany,Adenovirusimpfstoff,-0.00611151427696521
2009-2010,germany,Paraneoplastisches_Syndrom,-0.0063910317016712
