season,country,predicted_influenza_peak,real_influenza_peak,predicted_influenza_peak_value,real_influenza_peak_value,mse,pcc,p_value
2008-2009,germany,2009-10,2009-06,2.595378815770324,6.08,4.898019745065948,0.13782227388024465,0.5019585172794484
2009-2010,germany,2010-08,2009-46,4.615645350974667,40.29,143.07072893651042,-0.6935557007415983,8.540581074851266e-05
2010-2011,germany,2011-02,2011-06,2.784497633634946,7.86,10.510693610073625,0.40356130003777135,0.040909475952226354
2011-2012,germany,2012-07,2012-11,5.34481333001112,1.96,4.8393903221839025,0.20140431945036855,0.32383089418724764
2012-2013,germany,2013-05,2013-08,16.827068924619383,11.11,12.471418782235425,0.7177871469923219,3.65837373761133e-05
2013-2014,germany,2014-06,2014-12,5.494835313786886,0.86,5.312014583033588,0.6225428090379757,0.0006830851875209621
2014-2015,germany,2015-09,2015-09,9.250676072516988,15.49,9.560714876566578,0.8618357340643922,1.549938621224686e-08
2015-2016,germany,2016-09,2016-11,34.64623237874865,11.06,59.63769469189345,0.4004654943626373,0.04263209629127385
2016-2017,germany,2017-14,2017-06,25.358231105685242,19.91,62.92728318683555,0.45464231256542825,0.019624816332409423
2017-2018,germany,2018-08,2018-10,15.123582372217815,57.31,354.44573258735,0.4104660527084954,0.037266034888353984
2018-2019,germany,2019-08,2019-08,34.94048099232398,23.6,119.20589250692578,0.7801113907998166,2.6107334931313732e-06
