season,country,predicted_influenza_peak,real_influenza_peak,predicted_influenza_peak_value,real_influenza_peak_value,mse,pcc,p_value
2008-2009,italy,2009-06,2009-04,7.333760051668938,8.23,4.075851885241435,0.9170291134563519,4.575869384313735e-11
2009-2010,italy,2009-45,2009-46,28.701596084471603,12.92,12.996580993733534,0.810095078851439,5.31190101612894e-07
2010-2011,italy,2011-03,2011-05,10.279645814979311,11.04,5.468355952147134,0.8134587392604793,4.3670003921046045e-07
2011-2012,italy,2012-05,2012-05,8.382442855298049,9.64,1.4556611992489512,0.9617147423357755,5.381804258671593e-15
2012-2013,italy,2013-05,2013-06,6.129558200991394,9.99,4.453831863973741,0.8897442108864305,1.2006077052588503e-09
2013-2014,italy,2014-03,2014-06,8.92359718430923,6.67,1.2156047237029441,0.9184999170434061,3.7206938844388473e-11
2014-2015,italy,2015-04,2015-04,6.407912172233969,10.87,3.7455058250741384,0.9501077960952731,1.2157690119906174e-13
2015-2016,italy,2016-06,2016-08,9.504528592388723,6.14,1.940412694746165,0.7632950936058127,5.7506654231088356e-06
2016-2017,italy,2017-01,2016-52,16.17215452833372,9.57,11.484949446438549,0.9409621252626625,8.737261163954345e-13
2017-2018,italy,2018-01,2018-02,20.438272668775443,14.73,5.2483888348788845,0.8804567928542797,3.01534638676177e-09
2018-2019,italy,2019-05,2019-05,10.202186420797382,14.03,3.5357237468368115,0.916354471636559,5.02498219340854e-11
