season,country,page_name,value
2010-2011,netherlands,Griep,10.069412429457453
2010-2011,netherlands,Japanse_encefalitis,4.788321080279137
2010-2011,netherlands,Aziatische_griep,4.567981762243636
2010-2011,netherlands,Aviair_reovirus,4.089008744251088
2010-2011,netherlands,Hongkonggriep,4.041715653480689
2010-2011,netherlands,Cyanovirus,3.1380989414487246
2010-2011,netherlands,Koortsstuip,2.746324725046645
2010-2011,netherlands,Lassakoorts,1.9512274418785467
2010-2011,netherlands,Orthomyxovirus,1.8548658729659167
2010-2011,netherlands,Influenzavirus_A,1.7826791585343624
2010-2011,netherlands,Hemolytische_anemie,1.6709418550494521
2010-2011,netherlands,Coronavirussen,1.0549052761607285
2010-2011,netherlands,Hepatosplenomegalie,1.0540473549931184
2010-2011,netherlands,Bof,0.8593472260846722
2010-2011,netherlands,IJshoofdpijn,0.8183255541737089
2010-2011,netherlands,Cytokinestorm,0.7576673323247339
2010-2011,netherlands,Projectielbraken,0.6709743389413216
2010-2011,netherlands,Krim-Congo-hemorragische_koorts,0.6541275774809737
2010-2011,netherlands,Reovirus,0.6438326108290059
2010-2011,netherlands,Latente_infectie,0.634180496393832
2010-2011,netherlands,Tremor,0.2936555028267394
2010-2011,netherlands,Pest_van_Antoninus,0.08902500024564602
2010-2011,netherlands,Griepprik,-0.008887873139780891
2010-2011,netherlands,Hepatitis_E,-0.04959493487524573
2010-2011,netherlands,Risus_sardonicus,-0.1745167536676552
2010-2011,netherlands,Coccidiose,-0.19246161780785176
2010-2011,netherlands,Merkelcelpolyomavirus,-0.2298111927240375
2010-2011,netherlands,Neurogene_pijn,-0.3155609388354159
2010-2011,netherlands,Asthenie,-0.4776114436167669
2010-2011,netherlands,Orthobunyavirus,-0.632365374131449
2010-2011,netherlands,Ebolavirus,-0.7159673136033669
2010-2011,netherlands,Dysenterie,-0.7203844182566735
2010-2011,netherlands,Transcorticale_motorische_afasie,-0.7575424140082149
2010-2011,netherlands,SARS,-0.785847897403925
2010-2011,netherlands,Mond-en-klauwzeer,-1.2200327255768209
2010-2011,netherlands,Wortelprikkeling,-1.4021537108642548
2010-2011,netherlands,H1N1,-1.877687222918662
2010-2011,netherlands,Akinesie,-3.212552037225138
2010-2011,netherlands,Koliekpijn,-5.537594077751475
