season,country,page_name,value
2010-2011,belgium,Griep,165.8658360297904
2010-2011,belgium,Vaccinatie,50.830532937812656
2010-2011,belgium,Chordadieren,47.32918466198943
2010-2011,belgium,Aziatische_griep,37.54327697200091
2010-2011,belgium,Koude_rillingen,30.98446111823252
2010-2011,belgium,Afweer,28.18039046202839
2010-2011,belgium,1950-1959,22.317203243867993
2010-2011,belgium,Lichaamstemperatuur,21.959279723700593
2010-2011,belgium,Peptide,21.073117418960997
2010-2011,belgium,B-cel,19.84204607793892
2010-2011,belgium,Verenigde_Staten,16.2499195688548
2010-2011,belgium,Griepprik,15.714311646531193
2010-2011,belgium,Cytostaticum,13.478307876006667
2010-2011,belgium,Antigene_drift,12.516035354976578
2010-2011,belgium,Chirurgie,12.338986092310146
2010-2011,belgium,Virusinfectie,11.537852665647055
2010-2011,belgium,Antistof,11.075682600080997
2010-2011,belgium,Urine,9.030463391167569
2010-2011,belgium,Acetylsalicylzuur,8.027002636786369
2010-2011,belgium,Mutatie,6.677993217357674
2010-2011,belgium,Sterfte,5.283798441508343
2010-2011,belgium,Pulmonologie,4.041410551963887
2010-2011,belgium,Basalecelcarcinoom,3.0401760680776575
2010-2011,belgium,Inenting,2.6550167815156027
2010-2011,belgium,Immuunsuppressiva,2.4386895011063707
2010-2011,belgium,Hongkonggriep,2.4221925478176067
2010-2011,belgium,Immuniteit,1.864274459498392
2010-2011,belgium,Neuraminidase,1.8061364089484402
2010-2011,belgium,Varkensgriep,1.7553957221732621
2010-2011,belgium,RNA-virus,0.6770135660555915
2010-2011,belgium,Sterftecijfer,0.43848920057010193
2010-2011,belgium,Enzym,-0.9575552553866211
2010-2011,belgium,SARS,-1.5577046122783478
2010-2011,belgium,Rode_bloedcel,-1.7429213708681246
2010-2011,belgium,Chromosoom,-1.9076170554323642
2010-2011,belgium,Tweede_Wereldoorlog,-2.6649696872016344
2010-2011,belgium,Antigene_shift,-3.693296396978982
2010-2011,belgium,Vogelgriep,-3.747608892333252
2010-2011,belgium,Chemotherapie,-4.00400201339433
2010-2011,belgium,1957,-4.48175195494883
2010-2011,belgium,Genoom,-4.569108566998049
2010-2011,belgium,Eerste_Wereldoorlog,-5.990340936487551
2010-2011,belgium,Ziekte_van_Parkinson,-6.254046831849184
2010-2011,belgium,Soort,-6.448058034621437
2010-2011,belgium,Vrije_kennis,-6.647496576286733
2010-2011,belgium,20e_eeuw,-6.937210870797007
2010-2011,belgium,Nederland,-7.196271742912169
2010-2011,belgium,Proefdier,-8.906816538542289
2010-2011,belgium,Oraal,-9.407200409625789
2010-2011,belgium,Polyploïdie,-9.494726866004402
2010-2011,belgium,Honger,-9.97134086941032
2010-2011,belgium,In_vivo,-10.361659871530295
2010-2011,belgium,Slijmvlies,-10.415479373756925
2010-2011,belgium,Eiwitmantel,-12.394571727059136
2010-2011,belgium,Hong_Kong_griep,-12.54353427941763
2010-2011,belgium,Morbiditeitsgraad,-14.643983944759508
2010-2011,belgium,Temperatuur,-14.744215236723583
2010-2011,belgium,Spierpijn,-14.896555414071075
2010-2011,belgium,Maag,-14.953357813669031
2010-2011,belgium,Mortaliteit,-15.695412307542362
2010-2011,belgium,year,-17.21389503017947
2010-2011,belgium,Mexicaanse_griep,-20.93601525032322
2010-2011,belgium,Hongkong,-22.528070477671264
2010-2011,belgium,Rusland,-24.297498107734157
2010-2011,belgium,Bloedplaatje,-27.390230266665174
2010-2011,belgium,RNA-polymerase,-28.458479402628328
2010-2011,belgium,Hartinfarct,-29.224821650118525
2010-2011,belgium,Vogels,-40.605462276611725
2010-2011,belgium,Fagocytose,-42.99201919906156
2010-2011,belgium,Keelpijn,-43.022544991516995
2011-2012,belgium,Griep,181.61120458890528
2011-2012,belgium,Chordadieren,46.47653104245823
2011-2012,belgium,Vaccinatie,45.87260983102252
2011-2012,belgium,Aziatische_griep,39.8662203299348
2011-2012,belgium,1950-1959,27.329352980318934
2011-2012,belgium,B-cel,26.4652589500175
2011-2012,belgium,Koude_rillingen,25.805891415509816
2011-2012,belgium,Immuunsuppressiva,15.46097154912987
2011-2012,belgium,Afweer,14.72572206879839
2011-2012,belgium,Griepprik,13.99515651175738
2011-2012,belgium,Urine,13.464675791092171
2011-2012,belgium,Inenting,12.367744968135012
2011-2012,belgium,Acetylsalicylzuur,12.22310506788216
2011-2012,belgium,Antigene_drift,11.170645988725381
2011-2012,belgium,Peptide,11.168670537325928
2011-2012,belgium,Chirurgie,7.304574396494905
2011-2012,belgium,Varkensgriep,5.4523774592657785
2011-2012,belgium,Verenigde_Staten,5.03208846541881
2011-2012,belgium,Pulmonologie,4.815724111013107
