season,country,page_name,value
2008-2009,germany,Influenza-Schnelltest,8.528869781507009
2008-2009,germany,Oseltamivir,1.168709303763996
2008-2009,germany,Superinfektion,1.023896398201616
2008-2009,germany,Influenza-A-Virus_H1N1,0.7760243531919707
2008-2009,germany,Fachzeitschrift,0.5514930449192453
2008-2009,germany,Genom,0.4645873753510927
2008-2009,germany,Pathogen,0.43149182872385833
2008-2009,germany,Reye-Syndrom,0.39639546516871116
2008-2009,germany,Antikörper,0.38485454663721064
2008-2009,germany,Impfung,0.38197559625727606
2008-2009,germany,Totenschein,0.371422310943807
2008-2009,germany,Bundesamt_für_Statistik,0.36853840646207114
2008-2009,germany,Pneumokokken,0.29607103394223727
2008-2009,germany,Asiatische_Grippe,0.28855977336183963
2008-2009,germany,Pferdeinfluenza,0.2770881711390142
2008-2009,germany,Rimantadin,0.22087973592894608
2008-2009,germany,Hämagglutinin,0.1781452706798626
2008-2009,germany,Inkubationszeit,0.17573347651679425
2008-2009,germany,PH-Wert,0.16348693352625562
2008-2009,germany,Zytokinsturm,0.16115905224340588
2008-2009,germany,Hongkong-Grippe,0.13596483971086284
2008-2009,germany,Verschreibungspflicht,0.08966349310831959
2008-2009,germany,The_Times,0.08608714254040768
2008-2009,germany,Miasmen,0.0569140742774762
2008-2009,germany,Antigen,0.04264378657051259
2008-2009,germany,Planet,0.041090346582667935
2008-2009,germany,Dmitri_Iwanowski,0.03222128777461017
2008-2009,germany,Mundschutz,0.013857909984687984
2008-2009,germany,Trachealsekret,0.011470704287292379
2008-2009,germany,Neuraminidase,0.005604032636042008
2008-2009,germany,Astrologie,-0.0010682924987076388
2008-2009,germany,Enzephalitis,-0.002003908254022074
2008-2009,germany,Weltgesundheitsorganisation,-0.005356275523785778
2008-2009,germany,Schweiz,-0.010745708964660866
2008-2009,germany,Vogel,-0.011743345828426852
2008-2009,germany,Parasitismus,-0.013810714943854817
2008-2009,germany,Glykoproteine,-0.015992493702348475
2008-2009,germany,Generikum,-0.018349856502139283
2008-2009,germany,Mittelalter,-0.02637908019973037
2008-2009,germany,Mikroorganismus,-0.03089416363802337
2008-2009,germany,Infektion,-0.05704720145752826
2008-2009,germany,Influenzaimpfstoff,-0.06147710117558443
2008-2009,germany,Cholecalciferol,-0.06935757016424446
2008-2009,germany,Epidemiologie,-0.07589240048929738
2008-2009,germany,Öffentliche_Gesundheit,-0.07632787408128056
2008-2009,germany,Polymerase-Kettenreaktion,-0.08346171007826485
2008-2009,germany,Grad_Celsius,-0.08577764042880197
2008-2009,germany,Robert_Koch-Institut,-0.08597287212670682
2008-2009,germany,Cathelicidine,-0.08809187197987035
2008-2009,germany,Arch_Int_Med,-0.1045224410672533
2008-2009,germany,Pest,-0.10659432143919635
2008-2009,germany,Respiratory-Syncytial-Virus,-0.10807750633846847
2008-2009,germany,Agglutinine,-0.110463469286729
2008-2009,germany,Verschreibungspflichtig,-0.11075707010054725
2008-2009,germany,Selbstmedikation,-0.11687029181493298
2008-2009,germany,Gundolf_Keil,-0.12466443000711848
2008-2009,germany,Emerg_Infect_Dis,-0.13685984321767397
2008-2009,germany,Mikrobiologie,-0.13714078975784144
2008-2009,germany,Nasensekret,-0.13892485554624942
2008-2009,germany,Gelbfieber,-0.14295563447226137
2008-2009,germany,World_Health_Organization,-0.15204541212171307
2008-2009,germany,1968,-0.16365621269146374
2008-2009,germany,Rhinitis,-0.18736588960327932
2008-2009,germany,Todesursachenstatistik,-0.2780807313030832
2008-2009,germany,Urbanisierung,-0.2823339272992498
2008-2009,germany,Algen,-0.32982297889909956
2008-2009,germany,Anorexie,-0.3471022853551976
2008-2009,germany,Scheinkorrelation,-0.3590639296296285
2008-2009,germany,Schmierinfektion,-0.5526634573391919
2008-2009,germany,Fieber,-0.6755176257551357
2008-2009,germany,Grippeimpfung,-0.765087796109365
2008-2009,germany,Schleimhaut,-0.9014221231551385
2008-2009,germany,Schüttelfrost,-3.262357224573918
2009-2010,germany,Influenza-Schnelltest,7.483285578039973
2009-2010,germany,Schweineinfluenza,0.6113791038666668
2009-2010,germany,Pferdeinfluenza,0.30981353553008123
2009-2010,germany,Totenschein,0.21477484675164893
2009-2010,germany,Impfung,0.20869476561038686
2009-2010,germany,Neuraminidase,0.19479843019095017
2009-2010,germany,Reye-Syndrom,0.1722688724469202
2009-2010,germany,Pneumokokken,0.07763743377389533
2009-2010,germany,Pathogen,0.05869504927370146
2009-2010,germany,Impact_Factor,0.057211845439995315
2009-2010,germany,Asiatische_Grippe,0.026023319145429522
2009-2010,germany,Dmitri_Iwanowski,0.011163008050829358
2009-2010,germany,Horst_Kremling,0.0034191932502705253
2009-2010,germany,Pest,-0.006118496658869213
2009-2010,germany,Anatomie,-0.009878860198075622
2009-2010,germany,Enzephalitis,-0.0169843100643581
2009-2010,germany,Gelbfieber,-0.02956425600227179
2009-2010,germany,Deutschland,-0.029972045973044918
2009-2010,germany,Schmierinfektion,-0.03029926696120206
2009-2010,germany,Nasensekret,-0.040543389262336714
2009-2010,germany,Arch_Int_Med,-0.04818193725526087
2009-2010,germany,Bronchialsekret,-0.049048590491618464
2009-2010,germany,Respiratory-Syncytial-Virus,-0.09985369854583126
2009-2010,germany,Statistisches_Bundesamt,-0.10917022065682322
2009-2010,germany,Selbstmedikation,-0.11528169565924112
2009-2010,germany,Frankreich,-0.20218772241742364
2009-2010,germany,Akute_Bronchitis,-0.2493385535786339
2009-2010,germany,Epithel,-0.30634825561471307
2009-2010,germany,Anorexie,-0.3150782222593135
2009-2010,germany,Scheinkorrelation,-0.3343353146326751
2009-2010,germany,Schüttelfrost,-1.1048237193529842
2010-2011,germany,Influenza-Schnelltest,8.162270417139732
2010-2011,germany,Oseltamivir,1.7352323723629282
2010-2011,germany,Totenschein,0.6708077005206212
2010-2011,germany,Superinfektion,0.6705198494996909
2010-2011,germany,Influenza-A-Virus_H1N1,0.5613078316025045
2010-2011,germany,Fachzeitschrift,0.41455232514295387
2010-2011,germany,Reye-Syndrom,0.38196782416522307
2010-2011,germany,Pferdeinfluenza,0.3680080232463003
2010-2011,germany,Genom,0.30130613330428896
2010-2011,germany,Impfung,0.2952323029540544
2010-2011,germany,Pneumokokken,0.29282931144020063
2010-2011,germany,Pathogen,0.2899230087462569
2010-2011,germany,Inkubationszeit,0.27731933207277193
2010-2011,germany,Zytokinsturm,0.21481272906076787
2010-2011,germany,Dmitri_Iwanowski,0.20223218833331286
2010-2011,germany,Bundesamt_für_Statistik,0.16299232287422386
2010-2011,germany,Neuraminidase,0.15044570554934275
2010-2011,germany,Hongkong-Grippe,0.14325189692279414
2010-2011,germany,Asiatische_Grippe,0.10734593523810762
