season,country,predicted_influenza_peak,real_influenza_peak,predicted_influenza_peak_value,real_influenza_peak_value,mse,pcc,p_value
2008-2009,germany,2009-05,2009-06,8.285358706661212,6.08,3.150267116568913,0.7507207220201788,9.966006973129997e-06
2009-2010,germany,2009-46,2009-46,67.36144105719757,40.29,102.85558902333763,0.9295525301865921,6.859771841062484e-12
2010-2011,germany,2011-10,2011-06,2.7456255370845204,7.86,9.653876094358907,0.6181811482160731,0.0007636445264720981
2011-2012,germany,2012-10,2012-11,4.51434690494472,1.96,1.3317916633951528,0.8414091394139841,7.257557318606715e-08
2012-2013,germany,2013-08,2013-08,13.834894936172297,11.11,6.523112513187879,0.8974296983862511,5.255396163043359e-10
2013-2014,germany,2013-50,2014-12,6.606031528860688,0.86,5.889622287928928,0.49896547630343085,0.009464004459875825
2014-2015,germany,2015-08,2015-09,13.324783735057242,15.49,1.6820892467186566,0.9749227140752067,3.5928814194704007e-17
2015-2016,germany,2016-10,2016-11,7.032872929420463,11.06,3.424377348188938,0.9162057269094666,5.1292463402287166e-11
2016-2017,germany,2017-06,2017-06,11.958296418020712,19.91,69.45617174575679,0.7732638474842259,3.629800301270549e-06
2017-2018,germany,2018-09,2018-10,54.84481134667493,57.31,35.904714340461126,0.9502190093794234,1.1843275784019953e-13
2018-2019,germany,2019-08,2019-08,20.97316349775701,23.6,13.631740332373635,0.8989485923321465,4.4295261272018706e-10
