season,country,page_name,value
2008-2009,italy,Febbre,2.14902192017196
2008-2009,italy,Polmonite,0.9854514433413782
2008-2009,italy,Antibiotico,0.8282975554082553
2008-2009,italy,Influenzavirus_A_sottotipo_H1N1,0.5744634846762322
2008-2009,italy,Muscolo,0.3439954905650329
2008-2009,italy,1989,0.343883400946372
2008-2009,italy,Colesterolo,0.2997960562958033
2008-2009,italy,Lingua_latina,0.2760235144305445
2008-2009,italy,Influenza_asiatica,0.26011090649230123
2008-2009,italy,Multinazionale,0.2299076755797487
2008-2009,italy,Fisiologia,0.22829549617992975
2008-2009,italy,Virus_respiratorio_sinciziale_umano,0.2143892515058502
2008-2009,italy,Farmacia,0.20687294938785541
2008-2009,italy,Bronchite,0.19279512036619353
2008-2009,italy,Emisfero_boreale,0.1921816689355259
2008-2009,italy,Neuraminidasi,0.18205112584853322
2008-2009,italy,Colecalciferolo,0.17912796312565196
2008-2009,italy,Reazione_a_catena_della_polimerasi,0.16827993373945738
2008-2009,italy,Neoplasia,0.16334245808255554
2008-2009,italy,Influenza_spagnola,0.15387519728260693
2008-2009,italy,Patogenesi,0.12526129117656323
2008-2009,italy,Emoagglutinina,0.12523746142818265
2008-2009,italy,Pinnipedi,0.11813321641425215
2008-2009,italy,Virus_a_RNA,0.10976770706737282
2008-2009,italy,Influenza_suina,0.10635775554694432
2008-2009,italy,Paracetamolo,0.09056619549201414
2008-2009,italy,Tifo,0.05844041468454992
2008-2009,italy,Diagnosi,0.058062202935270625
2008-2009,italy,Germania,0.05373092081492816
2008-2009,italy,Aspirina,0.05292741603556561
2008-2009,italy,Animalia,0.05195232384000341
2008-2009,italy,Antipiretici,0.05044949931132773
2008-2009,italy,Federico_Pedrocchi,0.04923017217929205
2008-2009,italy,Tifo_esantematico,0.04137509456466205
2008-2009,italy,Starnuti,0.029135147194450227
2008-2009,italy,Kansas,0.021213042069300816
2008-2009,italy,Genoma,0.01746519430788282
2008-2009,italy,George_W._Bush,0.015617726468128292
2008-2009,italy,Vaccino_antinfluenzale,0.014607127405487107
2008-2009,italy,1918,0.009449622915273358
2008-2009,italy,Aminoacido,0.008925173289537385
2008-2009,italy,Ottocento,0.007435960420947532
2008-2009,italy,Radiazione_ultravioletta,0.00526424075182656
2008-2009,italy,Stupefacenti,0.0022247826661764983
2008-2009,italy,Prodotto_interno_lordo,-0.007843724972033415
2008-2009,italy,Vietnam,-0.008072909351376145
2008-2009,italy,Artico,-0.008329545543513273
2008-2009,italy,Doppio_cieco,-0.012443834892319289
2008-2009,italy,Mutazione,-0.013451036000422441
2008-2009,italy,1580,-0.016091339571644957
2008-2009,italy,Paesi_Bassi,-0.01898242914535599
2008-2009,italy,Editoriale,-0.02838395256623135
2008-2009,italy,Progresso_tecnico,-0.028463392154770634
2008-2009,italy,La_Stampa,-0.03930287057165257
2008-2009,italy,Guerra_del_Peloponneso,-0.05200991547264063
2008-2009,italy,Organizzazione_mondiale_della_sanità,-0.05542832489171898
2008-2009,italy,Stati_Uniti,-0.05786081068026955
2008-2009,italy,Prima_guerra_mondiale,-0.06703052572656286
2008-2009,italy,Cina,-0.07355149130474875
2008-2009,italy,XIX_secolo,-0.08712087461142809
2008-2009,italy,Rinascimento_italiano,-0.08831086117561114
2008-2009,italy,Bruno_Mattei,-0.10197429402639252
2008-2009,italy,Total_factor_productivity,-0.10473850633773707
2008-2009,italy,Fotofobia,-0.1285931565253821
2008-2009,italy,Starnuto,-0.12982408630594264
2008-2009,italy,Oceano_Pacifico,-0.13202415744448015
2008-2009,italy,Università_del_Michigan,-0.14231788465702555
2008-2009,italy,Tadalafil,-0.14345937739364256
2008-2009,italy,Eziologia,-0.1467125563595625
2008-2009,italy,XX_secolo,-0.18799139733302442
2008-2009,italy,Alcol,-0.19994546892139572
2008-2009,italy,Unità_Astronomica,-0.20396335467511048
2008-2009,italy,Anoressia,-0.26331963443459944
2008-2009,italy,Lingua_greca,-0.3010497678425492
2008-2009,italy,Tumore,-0.30694103950765467
2008-2009,italy,Proteine,-0.328333035246787
2008-2009,italy,Raffreddore_comune,-0.3323690836729816
2008-2009,italy,H1N1,-0.3333483657761692
2008-2009,italy,Artralgia,-0.3347083599335019
2008-2009,italy,Oligonucleotide,-0.3363997859713381
2008-2009,italy,year,-0.35440635362538336
2008-2009,italy,Emisfero_australe,-0.35872271636972153
2008-2009,italy,Osteoporosi,-0.3879492837037188
2008-2009,italy,month,-0.40203014085545413
2008-2009,italy,Astrologia_occidentale,-0.4311085603318415
