season,country,predicted_influenza_peak,real_influenza_peak,predicted_influenza_peak_value,real_influenza_peak_value,mse,pcc,p_value
2008-2009,italy,2009-06,2009-04,8.738529634130774,8.23,4.695067406799607,0.8119194346088341,4.778816543405597e-07
2009-2010,italy,2009-45,2009-46,41.774597375590524,12.92,40.431600394353694,0.8707564850183006,7.300337978146287e-09
2010-2011,italy,2011-04,2011-05,11.872574629861438,11.04,4.690700863828696,0.8951783742939599,6.738449675577299e-10
2011-2012,italy,2012-05,2012-05,7.136413218045817,9.64,1.0252686117771925,0.9477879812859756,2.0724024342389818e-13
2012-2013,italy,2013-05,2013-06,8.823068338208905,9.99,7.232303956588296,0.8451804406043026,5.549825137654368e-08
2013-2014,italy,2014-03,2014-06,9.452006130361333,6.67,1.3733992238039219,0.8689691621320306,8.525992910487271e-09
2014-2015,italy,2015-04,2015-04,6.645117209800339,10.87,3.7201207343581597,0.9532837654534985,5.613387335749267e-14
2015-2016,italy,2016-07,2016-08,4.622737827347082,6.14,1.2071345753227756,0.8977029034845851,5.097248647311949e-10
2016-2017,italy,2017-01,2016-52,12.474152213066523,9.57,8.811181249166468,0.9009293238973202,3.5298390245385973e-10
2017-2018,italy,2018-01,2018-02,18.251036857483726,14.73,4.1428163012965245,0.9306022384285341,5.760459043221086e-12
2018-2019,italy,2019-05,2019-05,11.724852114182168,14.03,2.2194152449800524,0.9362596482299927,2.1385964238015677e-12
