season,country,page_name,value
2010-2011,netherlands,Griep,13.086529626112585
2010-2011,netherlands,Chirurgie,7.855982860378838
2010-2011,netherlands,Hongkonggriep,5.035964784114634
2010-2011,netherlands,Chordadieren,4.649237399799507
2010-2011,netherlands,Immuniteit,4.333394737309096
2010-2011,netherlands,Aziatische_griep,4.203837857035279
2010-2011,netherlands,Verkoudheid,4.170094342984198
2010-2011,netherlands,H7N7,3.8690813891685947
2010-2011,netherlands,Molecuul,3.405868281214961
2010-2011,netherlands,Afrika,3.395023493708511
2010-2011,netherlands,B-cel,3.2641187497545734
2010-2011,netherlands,Buikgriep,2.8973751661942018
2010-2011,netherlands,Amantadine,2.845173561972147
2010-2011,netherlands,Influenzavirus_A,2.8379507849249173
2010-2011,netherlands,Resistentie,2.5957734378273196
2010-2011,netherlands,Emfyseem,2.310829344054313
2010-2011,netherlands,Varkensgriep,2.171426793002205
2010-2011,netherlands,Acetylsalicylzuur,2.0483618946766753
2010-2011,netherlands,Coronavirussen,1.9335341398154682
2010-2011,netherlands,Pandemie,1.7578501325266966
2010-2011,netherlands,RNA-virus,1.757619365538204
2010-2011,netherlands,Polio,1.6176058545998266
2010-2011,netherlands,Basalecelcarcinoom,1.4547510345559314
2010-2011,netherlands,Koorts,1.3078947548344966
2010-2011,netherlands,Virusinfectie,1.1116858086068386
2010-2011,netherlands,Giftigheid,1.1085646399707334
2010-2011,netherlands,Witte_bloedcel,0.9954795426932141
2010-2011,netherlands,Hong_Kong_griep,0.9883129717532565
2010-2011,netherlands,H5N1,0.9588470071293459
2010-2011,netherlands,Grieks,0.9319181628759902
2010-2011,netherlands,Verenigde_Staten,0.8895326340001639
2010-2011,netherlands,COPD,0.8883930407466863
2010-2011,netherlands,Malaria,0.7767927717535963
2010-2011,netherlands,Cytostaticum,0.5031447257244306
2010-2011,netherlands,Koude_rillingen,0.5012407713473551
2010-2011,netherlands,1968,0.4930114692592014
2010-2011,netherlands,Oseltamivir,0.4472353243205046
2010-2011,netherlands,Immuunsuppressiva,0.42899989985310477
2010-2011,netherlands,Afweer,0.37430274891941284
2010-2011,netherlands,Orthomyxovirus,0.18237547721364808
2010-2011,netherlands,Antigene_drift,0.11382726842962677
2010-2011,netherlands,Spierpijn,-0.014031928685553129
2010-2011,netherlands,Chemotherapie,-0.28463518252378694
2010-2011,netherlands,Messenger_RNA,-0.45976160496018487
2010-2011,netherlands,Hartinfarct,-0.48657104221688197
2010-2011,netherlands,Slijmvlies,-0.5352754390842941
2010-2011,netherlands,Vrije_kennis,-0.5448101868812303
2010-2011,netherlands,Vogelpest,-0.5568831128533746
2010-2011,netherlands,Eerste_Wereldoorlog,-0.648561956228242
2010-2011,netherlands,1957,-0.7712835027968572
2010-2011,netherlands,Hoofdpijn,-0.7832336193390204
2010-2011,netherlands,Dizuurstof,-0.8375803310348197
2010-2011,netherlands,Slijm,-1.024096697613026
2010-2011,netherlands,Vlaams,-1.1176694714177564
2010-2011,netherlands,Rusland,-1.284250363333214
2010-2011,netherlands,LD50,-1.5063901503344608
2010-2011,netherlands,Vogelgriep,-1.6140212833029464
2010-2011,netherlands,Creative_Commons,-1.7413369745180327
2010-2011,netherlands,Soort,-1.824352137746148
2010-2011,netherlands,Rhinovirus,-1.837474683856349
2010-2011,netherlands,Vogels,-1.892312201778014
2010-2011,netherlands,Tweede_Wereldoorlog,-2.01740378596225
2010-2011,netherlands,Mortaliteit,-2.2105514991690933
2010-2011,netherlands,In_silico,-2.2763937189490795
2010-2011,netherlands,Pulmonologie,-2.343124116995551
2010-2011,netherlands,Pijn,-2.428133353620193
2010-2011,netherlands,Steenpuist,-2.564838758913493
2010-2011,netherlands,Hongkong,-2.569880348269495
2010-2011,netherlands,Geneesmiddel,-2.707226005287198
2010-2011,netherlands,Stofwisseling,-2.878948945191229
2010-2011,netherlands,Zweden,-2.9020867461153586
2010-2011,netherlands,SARS,-3.1237378942518363
2010-2011,netherlands,Hartaandoening,-3.240002671991698
2010-2011,netherlands,Chromosoom,-3.4441057976979645
2010-2011,netherlands,Latijn,-3.4802641993856014
2010-2011,netherlands,Honger,-3.5379949254030008
2010-2011,netherlands,Waterpokken,-3.651390266757307
2010-2011,netherlands,Eukaryoten,-4.694990098034601
2010-2011,netherlands,year,-5.342780943675529
2010-2011,netherlands,H1N1,-5.492501399717394
2010-2011,netherlands,In_vivo,-6.433242811732489
2010-2011,netherlands,Bevalling,-11.832869032055653
2011-2012,netherlands,Griep,10.167042632260559
2011-2012,netherlands,Verkoudheid,9.08151443573983
2011-2012,netherlands,Afrika,6.994534282936404
2011-2012,netherlands,Chirurgie,6.701748170565105
2011-2012,netherlands,Hongkonggriep,5.993122338517831
2011-2012,netherlands,Chordadieren,4.663662651107111
2011-2012,netherlands,Immuniteit,4.274732715859544
2011-2012,netherlands,H7N7,3.9056303429691455
2011-2012,netherlands,Aziatische_griep,3.8969658747533753
2011-2012,netherlands,Influenzavirus_A,3.326949210892769
2011-2012,netherlands,Amantadine,2.9998319821722794
2011-2012,netherlands,B-cel,2.5275372372977682
2011-2012,netherlands,Polio,2.335137993224895
2011-2012,netherlands,Emfyseem,2.3343781472983673
2011-2012,netherlands,1948,2.2516734307260546
2011-2012,netherlands,Varkensgriep,1.5285788461176313
2011-2012,netherlands,Koude_rillingen,1.4949048404016732
2011-2012,netherlands,Molecuul,1.393251825778949
2011-2012,netherlands,Vaccinatie,1.3723911723370337
2011-2012,netherlands,Giftigheid,1.3029390197407336
2011-2012,netherlands,Pandemie,1.1273724081492706
2011-2012,netherlands,Orthomyxovirus,1.0480461899710343
2011-2012,netherlands,Salicylaat,1.0373859468995343
