season,country,page_name,value
2015-2016,belgium,Koorts,93.04263165087761
2015-2016,belgium,Bacteriën,37.30322429854219
2015-2016,belgium,Mexicaanse_griep,36.08748098713112
2015-2016,belgium,Acetylsalicylzuur,29.61851077285527
2015-2016,belgium,Antigene_drift,20.76285724596414
2015-2016,belgium,Aziatische_griep,19.807486479707915
2015-2016,belgium,Immuunsuppressiva,18.48422465325496
2015-2016,belgium,Longaandoening,16.277468351673964
2015-2016,belgium,Lichaamstemperatuur,15.416094142320077
2015-2016,belgium,1968,15.10560436525576
2015-2016,belgium,Polio,10.730723698232762
2015-2016,belgium,Resistentie,10.469348453867514
2015-2016,belgium,Organisme,9.605310186583033
2015-2016,belgium,Afweer,6.781160800378943
2015-2016,belgium,Hersenvliesontsteking,5.410776725578469
2015-2016,belgium,Emfyseem,5.335764986824486
2015-2016,belgium,Virusinfectie,4.427238163033402
2015-2016,belgium,Vogelpest,1.8611448709398273
2015-2016,belgium,Aviaire_influenza,1.0443706684389542
2015-2016,belgium,Leukemie,0.3076694778497462
2015-2016,belgium,Radiotherapie,-0.05685472552642733
2015-2016,belgium,Diarree,-0.4643588847055848
2015-2016,belgium,Turkije,-2.914769954198223
2015-2016,belgium,In_vivo,-2.9249618165906646
2015-2016,belgium,Antistof,-6.086191365558912
2015-2016,belgium,Neuraminidase,-10.777029322652403
2015-2016,belgium,Chemotherapie,-11.558497965679694
2015-2016,belgium,Bloed,-11.973885585318875
2015-2016,belgium,Vrije_kennis,-12.725921982619804
2015-2016,belgium,Temperatuur,-13.567418143612525
2015-2016,belgium,Keelpijn,-15.188300753190106
2015-2016,belgium,Morbiditeitsgraad,-17.58677880429876
2015-2016,belgium,Zwangerschap,-21.396855562811382
2015-2016,belgium,Fagocytose,-23.334013450477187
2015-2016,belgium,Eiwitmantel,-23.55809063598256
2015-2016,belgium,Hartinfarct,-26.56121676520011
2015-2016,belgium,RNA-polymerase,-29.905964297836544
2015-2016,belgium,Beenmergtransplantatie,-31.204103953934975
2015-2016,belgium,year,-45.24065159826228
2016-2017,belgium,Griep,79.72531847225326
2016-2017,belgium,Urine,21.682581451168026
2016-2017,belgium,1950-1959,21.66466605676585
2016-2017,belgium,Virusinfectie,21.315262288205957
2016-2017,belgium,Aziatische_griep,20.76253866616256
2016-2017,belgium,Mexicaanse_griep,20.49961389084808
2016-2017,belgium,Chordadieren,12.133294035721887
2016-2017,belgium,Antigene_drift,7.685391161942612
2016-2017,belgium,Dierproef,7.12604334374562
2016-2017,belgium,Hemagglutinine,2.842226804446592
2016-2017,belgium,Immuunsuppressivum,-0.3481623449926474
2016-2017,belgium,Zwangerschap,-1.1948417792016655
2016-2017,belgium,Chemotherapie,-3.039060043872783
2016-2017,belgium,Duitsland,-4.103223129028449
2016-2017,belgium,RNA-polymerase,-12.614087886216064
2016-2017,belgium,Diarree,-14.825707572551764
2016-2017,belgium,Pijn,-15.938617930811118
2016-2017,belgium,year,-28.802565432381158
2016-2017,belgium,Fagocytose,-36.65935842883953
2016-2017,belgium,Vogels,-40.208630736766644
2017-2018,belgium,Griep,89.86768812802221
2017-2018,belgium,Chordadieren,83.09616479946993
2017-2018,belgium,Hoofdpijn,38.23515185499601
2017-2018,belgium,Koude_rillingen,36.297388635195915
2017-2018,belgium,Antigene_drift,36.01516446936225
2017-2018,belgium,1950-1959,25.61013523652635
2017-2018,belgium,Neuraminidase,19.128792407663266
2017-2018,belgium,Organisme,19.016531977560625
2017-2018,belgium,Immuunsuppressiva,16.85985157380928
2017-2018,belgium,Koorts,12.560672734480324
2017-2018,belgium,Lichaamstemperatuur,11.961487197154902
2017-2018,belgium,Acetylsalicylzuur,11.05045828278482
2017-2018,belgium,Conserveermiddel,10.504534154126432
2017-2018,belgium,Salicylaat,6.20523943714138
2017-2018,belgium,Longaandoening,5.9461752084444734
2017-2018,belgium,Open_access,3.5717884663487096
2017-2018,belgium,Malaria,2.2569971800873443
2017-2018,belgium,Dierproef,1.3786915771694388
2017-2018,belgium,Hoesten,1.267527122628007
2017-2018,belgium,Virusinfectie,1.1906239086737533
2017-2018,belgium,Hartaandoening,0.4882960593235001
2017-2018,belgium,20e_eeuw,-2.8727905053477087
2017-2018,belgium,year,-2.995287275222534
2017-2018,belgium,H7N9,-3.359948027064565
2017-2018,belgium,Eetlust,-4.174648547130203
