season,country,page_name,value
2015-2016,germany,Influenza-Schnelltest,10.323536178250535
2015-2016,germany,Asiatische_Grippe,1.3538035320650195
2015-2016,germany,Pathogen,1.304591961552417
2015-2016,germany,Totenschein,0.5131859751922134
2015-2016,germany,Bundesamt_für_Statistik,0.42478349958827677
2015-2016,germany,European_Influenza_Surveillance_Scheme,0.39124465112094137
2015-2016,germany,Pferdeinfluenza,0.3673477792927434
2015-2016,germany,Erreger,0.2945006653625852
2015-2016,germany,Reye-Syndrom,0.266392203619177
2015-2016,germany,Planet,0.22560020249826393
2015-2016,germany,Superinfektion,0.13483900239596197
2015-2016,germany,Horst_Kremling,0.05783249718802721
2015-2016,germany,Astrologie,-0.03219423239902976
2015-2016,germany,Übersterblichkeit,-0.03882748787501262
2015-2016,germany,Dmitri_Iossifowitsch_Iwanowski,-0.058791040250021326
2015-2016,germany,Cholera,-0.13208164834932554
2015-2016,germany,Schweiz,-0.15259702429077496
2015-2016,germany,Scheinkorrelation,-0.43701187904672445
2015-2016,germany,Schleimhaut,-0.69099899150521
2015-2016,germany,Pathogenität,-0.7081189235637237
2015-2016,germany,Anorexie,-0.9710889465841509
2015-2016,germany,Preußen,-0.9855124087978547
2016-2017,germany,Influenza-Schnelltest,9.6957552014152
2016-2017,germany,Pathogen,1.4898988961455395
2016-2017,germany,European_Influenza_Surveillance_Scheme,0.8635634676645852
2016-2017,germany,Totenschein,0.7407834783904378
2016-2017,germany,Pferdeinfluenza,0.6128167719012417
2016-2017,germany,Neuraminidase,0.30562729042461795
2016-2017,germany,Erreger,0.2807509765377099
2016-2017,germany,Reye-Syndrom,0.2775646939824854
2016-2017,germany,Schweineinfluenza,0.25224946243458946
2016-2017,germany,Rimantadin,0.18653212981186781
2016-2017,germany,Pneumokokken,0.16413217434375643
2016-2017,germany,Asiatische_Grippe,0.1554438906004552
2016-2017,germany,Anatomie,-0.00039176960320044097
2016-2017,germany,Rhinitis,-0.021502860486411212
2016-2017,germany,Durchfall,-0.026913093140054266
2016-2017,germany,Biologie,-0.03449749487888202
2016-2017,germany,year,-0.07849276289620506
2016-2017,germany,Krankenkasse,-0.0795642296182615
2016-2017,germany,Römische_Kirche,-0.12614560465203511
2016-2017,germany,Cholera,-0.16232587425986605
2016-2017,germany,Astrologie,-0.19030216917252424
2016-2017,germany,Latenzzeit,-0.22789308849653325
2016-2017,germany,Schweiz,-0.2467619318655418
2016-2017,germany,Cathelicidine,-0.2745326798264818
2016-2017,germany,Mittelalter,-0.3005114088447345
2016-2017,germany,Nasenschleimhaut,-0.30253259045309877
2016-2017,germany,Scheinkorrelation,-0.36690049805996866
2016-2017,germany,Epithel,-0.5866471149451193
2016-2017,germany,Anorexie,-0.6854281314160846
2016-2017,germany,Statistisches_Bundesamt,-0.8293565673426824
2017-2018,germany,Influenza-Schnelltest,5.068775505676922
2017-2018,germany,Pferdeinfluenza,1.1403655718138712
2017-2018,germany,Neuraminidase-Hemmer,0.6897276145823588
2017-2018,germany,Gliederschmerzen,0.5388253113860437
2017-2018,germany,Neuraminidase,0.49300607666695273
2017-2018,germany,Zytokinsturm,0.4335887333393186
2017-2018,germany,Latenzzeit,0.40604161669880073
2017-2018,germany,Arzneistoff,0.3728063473886719
2017-2018,germany,Fachzeitschrift,0.3225349648983952
2017-2018,germany,Reye-Syndrom,0.2999413548696082
2017-2018,germany,Horst_Kremling,0.2907707300671856
2017-2018,germany,Pathogen,0.28428079379146176
2017-2018,germany,Griechische_Sprache,0.2026571944967733
2017-2018,germany,Asiatische_Grippe,0.1624823743637378
2017-2018,germany,Gundolf_Keil,0.16046094999226235
2017-2018,germany,The_Times,0.09432648031319854
2017-2018,germany,Agglutinine,0.07671847763711227
2017-2018,germany,Römische_Kirche,0.046429587280465354
2017-2018,germany,Gelbfieber,0.030788262921450125
2017-2018,germany,Internetsurfen,0.01228729768079574
2017-2018,germany,Pandemie,0.006433629443742502
2017-2018,germany,Einen_Vogel_haben,-0.010173571054806667
2017-2018,germany,Pilze,-0.011055456765762717
2017-2018,germany,Impfung,-0.013642765072452587
2017-2018,germany,Patrick_Laidlaw,-0.07604161742917888
2017-2018,germany,Vogel,-0.08582421854271792
2017-2018,germany,Selbstmedikation,-0.10155806355618445
2017-2018,germany,Scheinkorrelation,-0.10490972309628095
2017-2018,germany,Pandemie_H1N1_2009/10,-0.1286224416654985
2017-2018,germany,Dmitri_Iossifowitsch_Iwanowski,-0.12888861974350813
2017-2018,germany,Cathelicidine,-0.1387026686578985
2017-2018,germany,Glykoproteine,-0.14196030955410485
2017-2018,germany,Allergie,-0.16074196679693167
2017-2018,germany,Zellkultur,-0.16161235955590567
2017-2018,germany,Liste_von_Subtypen_des_Influenza-A-Virus,-0.16493252222968866
2017-2018,germany,Parasitismus,-0.19429004653288895
2017-2018,germany,Todesursachenstatistik,-0.19656170487283023
2017-2018,germany,Gliederschmerz,-0.23536354521432998
2017-2018,germany,Durchfall,-0.24636841095113204
2017-2018,germany,Statistisches_Bundesamt,-0.2550209080935174
2017-2018,germany,Kehle,-0.2576574053764915
2017-2018,germany,Astrologie,-0.28799110009858175
2017-2018,germany,Influenzapandemie,-0.333396575259848
2017-2018,germany,Berichte_zur_Wissenschaftsgeschichte,-0.3459819632638292
2017-2018,germany,Schmerz,-0.3496827049621667
2017-2018,germany,Anorexie,-0.3780372863666864
2017-2018,germany,year,-0.5153646119665096
2017-2018,germany,Miasmen,-0.5992540994206869
2017-2018,germany,Lungenentzündung,-0.6815773337203477
2017-2018,germany,Respiratory-Syncytial-Virus,-0.692636156787336
2017-2018,germany,Nebenwirkung,-0.8682394688339099
2018-2019,germany,Influenza-Schnelltest,9.175070811411386
2018-2019,germany,Pathogen,1.9478946125946572
2018-2019,germany,Totenschein,1.3483592970548608
2018-2019,germany,Schweineinfluenza,0.8122856064780056
2018-2019,germany,Asiatische_Grippe,0.7441396311568407
2018-2019,germany,European_Influenza_Surveillance_Scheme,0.7441256885890396
2018-2019,germany,Pneumokokken,0.6309400092946542
2018-2019,germany,Spanische_Grippe,0.6135000919398123
2018-2019,germany,Superinfektion,0.48303143880718796
