season,country,page_name,value
2015-2016,italy,Febbre,1.428496816772172
2015-2016,italy,Influenza_di_Hong_Kong,0.7986930128027322
2015-2016,italy,Integrazione_verticale,0.7930825274241077
2015-2016,italy,Influenzavirus_A_sottotipo_H1N1,0.7173681285035002
2015-2016,italy,1968,0.4319194186104527
2015-2016,italy,Neuraminidasi,0.23409084807773217
2015-2016,italy,Eccipiente,0.2317704797084093
2015-2016,italy,Orthomyxoviridae,0.13788458536055148
2015-2016,italy,Mutazione_genetica,0.10816635192256903
2015-2016,italy,Influenza_asiatica,0.1025310431891567
2015-2016,italy,Inverno,0.07246732408131094
2015-2016,italy,Reazione_allergica,0.058363126064619526
2015-2016,italy,Antipiretici,0.05724869069251313
2015-2016,italy,Virus_parainfluenzali_umani,0.021287379431186165
2015-2016,italy,Spagna,-0.0067635851910062324
2015-2016,italy,Artralgia,-0.009022029845710761
2015-2016,italy,Organizzazione_mondiale_della_sanità,-0.012768859225105225
2015-2016,italy,Progresso_tecnico,-0.01885173985555388
2015-2016,italy,Ippocrate_di_Coo,-0.02687490189970369
2015-2016,italy,Terapia,-0.04175160567112446
2015-2016,italy,Stupefacenti,-0.06014173926153764
2015-2016,italy,Febbre_tifoide,-0.06037581726267817
2015-2016,italy,Dengue,-0.061232832382004464
2015-2016,italy,Sindrome,-0.07211515743906848
2015-2016,italy,Cina,-0.08066539662343702
2015-2016,italy,Anoressia,-0.08179958283095698
2015-2016,italy,Eziologia,-0.08293339125841906
2015-2016,italy,Università_del_Michigan,-0.11112214352783517
2015-2016,italy,Total_factor_productivity,-0.12568147745906924
2015-2016,italy,Editoriale,-0.2009254743851561
2015-2016,italy,Industria,-0.22343873331306288
2015-2016,italy,Oligonucleotide,-0.3061075060306072
2015-2016,italy,Proteine,-0.31914445536416236
2015-2016,italy,Cefalea,-0.32290735350188865
2015-2016,italy,Starnuto,-0.36572184966403465
2015-2016,italy,Edema,-0.38343664106450476
2015-2016,italy,Rinascimento_italiano,-0.4673839591923933
2016-2017,italy,Febbre,1.2186949238829807
2016-2017,italy,Virus_respiratorio_sinciziale_umano,0.6060044174715725
2016-2017,italy,Influenzavirus_A_sottotipo_H1N1,0.554826736367189
2016-2017,italy,Influenza_di_Hong_Kong,0.5533620640732835
2016-2017,italy,Influenza_asiatica,0.446297953817715
2016-2017,italy,Mutazione_genetica,0.392915105947137
2016-2017,italy,Integrazione_verticale,0.35030853777345233
2016-2017,italy,Nosologia,0.16616308455898687
2016-2017,italy,Farmacoforo,0.14022889553482273
2016-2017,italy,Patogenesi,0.11451837371235082
2016-2017,italy,12_luglio,0.06538099004528697
2016-2017,italy,Antipiretici,0.04865996355669794
2016-2017,italy,Tosse,0.030073032909071328
2016-2017,italy,DNA_ricombinante,0.017710064112069504
2016-2017,italy,Neoplasia,0.0071308447037028285
2016-2017,italy,Batterio,-0.010374763532443444
2016-2017,italy,Pinnipedi,-0.029642992880950788
2016-2017,italy,Astrologia_occidentale,-0.03152172181459434
2016-2017,italy,Tumore,-0.0420380873058209
2016-2017,italy,Ippocrate_di_Coo,-0.11596094052557393
2016-2017,italy,Stupefacenti,-0.14013124652055825
2016-2017,italy,Editoriale,-0.1413686888316435
2016-2017,italy,Economia,-0.19445395396115542
2016-2017,italy,Raffreddore_comune,-0.21632306860848183
2016-2017,italy,Oligonucleotide,-0.23718759837458844
2016-2017,italy,Industria,-0.39236764840569366
2016-2017,italy,Cervignano_del_Friuli,-0.42442231824751314
2016-2017,italy,Rinascimento_italiano,-0.46396000996704156
2016-2017,italy,Proteine,-0.7591874842330263
2017-2018,italy,Febbre,1.6853406967690936
2017-2018,italy,Influenzavirus_A_sottotipo_H1N1,1.4728441621349484
2017-2018,italy,Tosse,0.6894046863472141
2017-2018,italy,1919,0.5724058656278528
2017-2018,italy,Virus_a_RNA,0.41538091004668465
2017-2018,italy,Influenza_spagnola,0.37732084058666465
2017-2018,italy,Fattore_di_rischio,0.36743608164419456
2017-2018,italy,Malattia,0.33972440401993775
2017-2018,italy,Influenza_di_Hong_Kong,0.3094709474830563
2017-2018,italy,Patogenesi,0.22377959258080446
2017-2018,italy,Aspirina,0.2195203458630101
2017-2018,italy,Neoplasia,0.16776336213442836
2017-2018,italy,Battere,0.16438131900636124
2017-2018,italy,Infezione,0.1459318602123481
2017-2018,italy,Virus_respiratorio_sinciziale_umano,0.13352833653334156
2017-2018,italy,Peso_atomico,0.1325126005957143
2017-2018,italy,Tifo_esantematico,0.12501357981940445
2017-2018,italy,Aminoacido,0.11145525512853072
2017-2018,italy,Ceppo_virale,0.10919174014313801
2017-2018,italy,Fidia,0.08777956564612296
2017-2018,italy,Emisfero_boreale,0.08767097072232795
2017-2018,italy,Mare_Glaciale_Artico,0.08539873781087623
2017-2018,italy,Nosologia,0.05875748335280223
2017-2018,italy,Ultravioletto,0.057986801973975315
2017-2018,italy,AIDS,0.04534703441714276
2017-2018,italy,Inverno,0.04428018686153706
2017-2018,italy,1940,0.038127057316144415
2017-2018,italy,Starnuti,0.03435434510953434
2017-2018,italy,Reazione_allergica,0.03386595855813142
2017-2018,italy,Virus_parainfluenzali_umani,0.029367892818890518
2017-2018,italy,430_a.C.,0.02876285812852135
2017-2018,italy,Eziologia,0.0220780398302801
2017-2018,italy,Farmacia,0.020364986112080295
2017-2018,italy,Edema_polmonare,0.010744598286601192
2017-2018,italy,Progresso_tecnico,0.00809897518075274
2017-2018,italy,Belgio,0.005085936978476561
2017-2018,italy,Ottimo_paretiano,0.002458948128701185
2017-2018,italy,Paesi_Bassi,-0.009782959605831388
2017-2018,italy,Muscoli,-0.01327543383981648
2017-2018,italy,Artico,-0.02113031444708269
2017-2018,italy,Industria,-0.02756028624082294
2017-2018,italy,Anni_1980,-0.03173593779797891
2017-2018,italy,Pinnipedi,-0.046037065420702496
2017-2018,italy,Asma,-0.048992128612302524
2017-2018,italy,Fotofobia,-0.04906489182498964
2017-2018,italy,Dengue,-0.052977532263857194
2017-2018,italy,Batterio,-0.06296505203634555
2017-2018,italy,Amantadina,-0.07321076752594584
2017-2018,italy,1977,-0.07844264814034461
2017-2018,italy,Emisfero_australe,-0.0981316968759812
2017-2018,italy,Proteine,-0.09998027216598376
2017-2018,italy,Influenza,-0.12195318004972718
2017-2018,italy,1º_novembre,-0.14778701658885346
2017-2018,italy,Tifo,-0.14850015695195493
2017-2018,italy,Stati_Uniti,-0.1491538476699583
2017-2018,italy,Indice_di_Divisia,-0.15166038491816464
2017-2018,italy,Oligonucleotide,-0.17454067537712534
2017-2018,italy,Stupefacenti,-0.19179331493697388
2017-2018,italy,Difterite,-0.19356161546798278
2017-2018,italy,H1N1,-0.21646402468592355
2017-2018,italy,Influenza_asiatica,-0.22721818590481913
2017-2018,italy,2006,-0.3129626355586905
2017-2018,italy,Allergia,-0.3191061516443362
2017-2018,italy,Saliva,-0.3325276079250145
2017-2018,italy,Economie_di_scala,-0.43913052117798695
2017-2018,italy,Influenza_suina,-0.44901780117862844
2017-2018,italy,year,-0.581640693021767
2017-2018,italy,Rinascimento_italiano,-0.6568328398788624
2017-2018,italy,Diagnosi,-0.6997329993849843
2017-2018,italy,Colecalciferolo,-0.765920297550184
2017-2018,italy,Raffreddore_comune,-0.7954935666001101
2018-2019,italy,Febbre,1.3686281093752684
2018-2019,italy,Pandemia_influenzale,1.2960835919684652
2018-2019,italy,Influenza_asiatica,0.6914710857079035
2018-2019,italy,Influenza_di_Hong_Kong,0.5361580232863014
2018-2019,italy,Reazione_a_catena_della_polimerasi,0.5217821980134388
2018-2019,italy,week,0.3751715535029181
2018-2019,italy,Influenzavirus_A_sottotipo_H1N1,0.24127285781440114
2018-2019,italy,Ceppo_virale,0.21011354702361223
2018-2019,italy,Farmacia,0.19736340000464545
2018-2019,italy,Virus_respiratorio_sinciziale_umano,0.1595525215106258
2018-2019,italy,Integrazione_verticale,0.15218312377101537
2018-2019,italy,Virus_a_RNA,0.14483828242445324
2018-2019,italy,Reazione_allergica,0.08467712393352719
2018-2019,italy,Influenza_suina,0.058928542042661
2018-2019,italy,Neoplasia,0.05808453406493115
2018-2019,italy,Patogenesi,0.0519021682149142
2018-2019,italy,Influenza_spagnola,0.03301255142576923
2018-2019,italy,12_luglio,0.029565508507582917
2018-2019,italy,Genoma,0.01844851756882237
2018-2019,italy,Principio_attivo,0.01757776096932012
2018-2019,italy,Mare_Glaciale_Artico,0.007381139272666216
2018-2019,italy,Sistema_immunitario,0.005521820572110488
2018-2019,italy,Fattore_di_rischio,0.005136084398265951
2018-2019,italy,Virus,-0.002064883946311051
2018-2019,italy,Unità_Astronomica,-0.025801017040728735
2018-2019,italy,Indice_di_Divisia,-0.028219147296304134
2018-2019,italy,Diabete,-0.03200474119855872
2018-2019,italy,Peste_nera,-0.045647612826088896
2018-2019,italy,Saliva,-0.04617890841063601
2018-2019,italy,Pinnipedia,-0.05039939370384877
2018-2019,italy,Lavoratore,-0.05369561518930461
2018-2019,italy,Antibiotici,-0.061487771569959146
2018-2019,italy,Mutazione,-0.062029094694280223
2018-2019,italy,Dengue,-0.06427011561335919
2018-2019,italy,Proteine,-0.07631043502894798
2018-2019,italy,Difterite,-0.0889826420358796
2018-2019,italy,430_a.C.,-0.09114842805726468
2018-2019,italy,Industria,-0.09298809478152358
2018-2019,italy,XV_secolo,-0.11183713173270715
2018-2019,italy,Pinnipedi,-0.12664263467050604
2018-2019,italy,Svezia,-0.13385050698063744
2018-2019,italy,Stati_Uniti,-0.1745145209868446
2018-2019,italy,Impotenza,-0.17777937357030263
2018-2019,italy,Battere,-0.17909830968925103
2018-2019,italy,Influenzavirus_A,-0.19267032573139908
