week,Febbre,Pandemia_influenzale,Influenzavirus_A_sottotipo_H1N1,1919,Influenza_di_Hong_Kong,Reazione_a_catena_della_polimerasi,1968,Integrazione_verticale,week,Tosse
2018-42,-0.2730356300141576,-0.2609393992012502,-0.0801200043737357,-0.18939393939393936,-0.16898442466624283,-0.3222810243159081,-0.34458439287984743,-0.2562956877473006,0.3431372549019608,-0.2369370522006141
2018-43,-0.27265219443133554,-0.2722260809168258,-0.07827210103329506,-0.1915238648465485,-0.14419103623649077,-0.3735299476578547,-0.3847941830896377,-0.21706290657903557,0.3627450980392157,-0.2338664278403275
2018-44,-0.2819824602800063,-0.2225646813682931,-0.07628205128205127,-0.18619905121502564,-0.14419103623649077,-0.39118713973365143,-0.2798990781945328,-0.2406025752799946,0.38235294117647056,-0.1970189355168884
2018-45,-0.2784037281736668,-0.23610869942698384,-0.07983571155212946,-0.1617049085100203,-0.11526541640178002,-0.31366775988869017,-0.32710187539733,-0.18393300248138955,0.4019607843137255,-0.21748976458546568
2018-46,-0.28044871794871795,-0.22707935405452334,-0.07571346563883877,-0.18939393939393936,-0.16898442466624283,-0.2960105678128934,-0.29388509218054676,-0.1612651733619475,0.4215686274509804,-0.17552456499488225
2018-47,-0.2704793927953437,-0.27448341725994096,-0.0801200043737357,-0.14253557943653788,-0.14832326764144946,-0.25552822500496924,-0.3917871900826447,-0.20572899201931458,0.4411764705882353,-0.24410184237461613
2018-48,-0.26408879974830896,-0.20902066330960234,-0.07898283308731069,-0.19471875302546227,-0.1193976478067387,-0.277061386073014,-0.40140257469802926,-0.19875427536717857,0.46078431372549017,-0.2615020470829068
2018-49,-0.26894565046405533,-0.24965271748567458,-0.07656634410365754,-0.14466550488914703,-0.16071996185632548,-0.2568202146690519,-0.3935354418308964,-0.18131748373683854,0.4803921568627451,-0.25740788126919134
2018-50,-0.2599988201982067,-0.25642472651501996,-0.07827210103329506,-0.18087423758350274,-0.1359265734265734,-0.2159072086397668,-0.41888509218054676,-0.18393300248138955,0.5,-0.24103121801432953
2018-51,-0.27329125373603896,-0.19773398159402672,-0.082678639768192,-0.1627698712363249,-0.16071996185632548,-0.24648429735639044,-0.3935354418308964,-0.2475772919321306,0.5196078431372549,-0.2420547594677584
2018-52,-0.3021767343086361,-0.25868206285813505,-0.08367366464381389,-0.22773259754090422,-0.1937778130959949,-0.5341673292254688,-0.4066473299427845,-0.36963483334451075,0.5392156862745098,-0.29425537359263043
2019-01,-0.23814299197734778,-0.18870463622156622,-0.06917473074189491,0.0,-0.1359265734265734,-0.2559588882263301,0.0,-0.15690597545436252,-0.46078431372549017,0.0
2019-02,-0.2400601698914582,-0.18870463622156622,-0.053965064785960304,0.0,-0.1565877304513668,-0.14915440932882798,0.0,-0.11157031721547847,-0.4411764705882353,0.0
2019-03,-0.24785669340884062,-0.2135353359958326,-0.06007736045049477,0.0,-0.1400588048315321,-0.1379571655734447,0.0,-0.05490074441687342,-0.4215686274509804,0.0
2019-04,-0.22306119238634572,-0.1774179545059906,-0.04117188781367885,0.0,-0.13179434202161475,-0.14011048168024917,0.0,-0.11941687344913149,-0.4019607843137255,0.0
2019-05,-0.19225853389963818,-0.17516061816287548,-0.04586271937018205,0.0,-0.11113318499682134,-0.10048946531504675,0.0,-0.07582489437328144,-0.38235294117647056,0.0
2019-06,-0.210791253736039,-0.148072582045494,-0.04756847629981958,0.0,-0.10286872218690399,-0.09187620088782884,0.0,-0.1368536650794715,-0.3627450980392157,0.0
2019-07,-0.2026112946358345,-0.2135353359958326,-0.050695697337488375,0.0,-0.1400588048315321,-0.03416732922546881,0.0,-0.17172724834015154,-0.3431372549019608,-0.1540301944728761
2019-08,-0.20158879974830893,-0.14355790935926374,-0.053965064785960304,0.0,-0.1400588048315321,-0.14054114490161007,0.0,-0.2528083294212326,-0.3235294117647059,-0.16733623336745135
2019-09,-0.22280556866446435,-0.08938183712450076,-0.050695697337488375,0.0,-0.09873649078194531,-0.17499420261048174,0.0,-0.19526691704111057,-0.30392156862745096,-0.20930143295803474
2019-10,-0.21794871794871792,-0.23610869942698384,-0.05680799300202285,0.0,-0.16071996185632548,-0.2542362353408866,0.0,-0.2414744148615116,-0.28431372549019607,-0.20008955987717497
2019-11,-0.2237002516910492,-0.23836603577009896,-0.05026925810507899,0.0,-0.11113318499682134,-0.25294424567680385,0.0,-0.2449617731875796,-0.2647058823529412,-0.24819600818833157
2019-12,-0.2487513764354255,-0.2609393992012502,-0.057234432234432225,0.0,-0.15245549904640812,-0.3287409726363215,0.0,-0.28593823351887865,-0.24509803921568626,-0.3075614124872057
2019-13,-0.252713544124587,-0.2722260809168258,-0.061498824558526045,0.0,-0.14419103623649077,-0.2869666401643146,0.0,-0.21096002950841658,-0.22549019607843138,-0.3075614124872057
2019-14,-0.2639609878873682,-0.2519100538287897,-0.054817943250779065,0.0,-0.16071996185632548,-0.23700970648645073,0.0,-0.22055026490510357,-0.20588235294117646,-0.31165557830092117
2019-15,-0.2611491269466729,-0.2812554262892863,-0.05936662839647913,0.0,-0.1193976478067387,-0.2615575101040218,0.0,-0.2519364898397156,-0.18627450980392157,-0.2717374616171955
