season,country,page_name,value
2015-2016,netherlands,Griep,15.833887865537703
2015-2016,netherlands,Koorts,7.97930090030903
2015-2016,netherlands,Aziatische_griep,3.961911691964423
2015-2016,netherlands,Ziekte_van_Parkinson,3.896244751733301
2015-2016,netherlands,Afrika,3.3500550385774446
2015-2016,netherlands,Bacteriën,3.3231278803689746
2015-2016,netherlands,Open_access,1.5636122262366017
2015-2016,netherlands,Giftigheid,1.0986262392912771
2015-2016,netherlands,Coronavirussen,1.086313751502005
2015-2016,netherlands,Immuunsuppressiva,1.0251302956181363
2015-2016,netherlands,Polio,0.43507130466602
2015-2016,netherlands,Emfyseem,0.26366292886204773
2015-2016,netherlands,Longaandoening,0.17519392583527785
2015-2016,netherlands,Lymfeklier,0.11189660813808944
2015-2016,netherlands,Bevalling,-0.03874266870154892
2015-2016,netherlands,Hong_Kong_griep,-0.10125614458847068
2015-2016,netherlands,Engels,-0.18837793506321185
2015-2016,netherlands,Tamiflu,-0.22951868993276917
2015-2016,netherlands,Hartaandoening,-0.4207761218309965
2015-2016,netherlands,Rhinovirus,-0.8191753508586522
2015-2016,netherlands,Zwangerschap,-0.983399373632043
2015-2016,netherlands,Mortaliteit,-1.081711399370569
2015-2016,netherlands,Symptoom,-1.116434985439137
2015-2016,netherlands,Griepprik,-1.1265459905696502
2015-2016,netherlands,1960-1969,-1.1309975447913632
2015-2016,netherlands,Chemotherapie,-1.146711004498588
2015-2016,netherlands,Neuraminidase,-1.3254131938446876
2015-2016,netherlands,Vlaams,-1.698503057988849
2015-2016,netherlands,Eukaryoten,-1.8114882198768587
2015-2016,netherlands,Diarree,-1.9688577662308362
2015-2016,netherlands,Hartinfarct,-2.4640316923527066
2015-2016,netherlands,Hoofdpijn,-2.8446917701644066
2015-2016,netherlands,Creative_Commons,-3.4900774730762634
2015-2016,netherlands,year,-5.48410240296931
2015-2016,netherlands,H5N2,-6.071799417138709
2015-2016,netherlands,Steenpuist,-8.463168087003712
2016-2017,netherlands,Griep,25.972363646549404
2016-2017,netherlands,Zoogdieren,6.491511715293548
2016-2017,netherlands,Lymfeklier,6.059128299882775
2016-2017,netherlands,Hart-_en_vaatziekten,5.230605619349989
2016-2017,netherlands,Koorts,4.6209348563590895
2016-2017,netherlands,Virusinfectie,4.488339548895429
2016-2017,netherlands,RNA-polymerase,4.088860036476239
2016-2017,netherlands,Hersenen,3.803111888875807
2016-2017,netherlands,Middellandse_Zeegebied,3.777922946075589
2016-2017,netherlands,Polio,3.5907450099317026
2016-2017,netherlands,Longaandoening,2.5250955248142457
2016-2017,netherlands,Sterftecijfer,2.3805209021749354
2016-2017,netherlands,Vogelgriep,2.2821467812391534
2016-2017,netherlands,Immuunsuppressiva,2.10508361634524
2016-2017,netherlands,RNA-virus,2.089968998921063
2016-2017,netherlands,Enzym,1.947230221035947
2016-2017,netherlands,Bacterie,1.8532897474741514
2016-2017,netherlands,Immunologie,1.7787296664385435
2016-2017,netherlands,Infectieziekte,1.5054278445978662
2016-2017,netherlands,Temperatuur,1.375929632155885
2016-2017,netherlands,Giftigheid,1.1118416812642682
2016-2017,netherlands,Chordadieren,1.073043642870805
2016-2017,netherlands,Emfyseem,1.0527605933566626
2016-2017,netherlands,Antigene_drift,1.0162046089718064
2016-2017,netherlands,Aziatische_griep,1.0106388459107676
2016-2017,netherlands,Mutant,0.8608733606953589
2016-2017,netherlands,Chirurgie,0.7950185885846285
2016-2017,netherlands,Organisme,0.5960559639377133
2016-2017,netherlands,Acetylsalicylzuur,0.4617386717690285
