season,country,page_name,value
2015-2016,belgium,Koorts,41.56240659399203
2015-2016,belgium,Ebola-uitbraak_in_West-Afrika_in_2014,37.55774130589904
2015-2016,belgium,Mexicaanse_griep,36.485820072414654
2015-2016,belgium,Griep,30.56488262109228
2015-2016,belgium,Mazelenvirus,29.778732131237764
2015-2016,belgium,Aardbeientong,25.87102680044378
2015-2016,belgium,Tremor,23.360802872494613
2015-2016,belgium,Hersenvliesontsteking,20.906975586293285
2015-2016,belgium,Koortsstuip,18.904349639514315
2015-2016,belgium,Cytomegalie,17.987785493992114
2015-2016,belgium,Blozen,13.272165915051207
2015-2016,belgium,Superinfectie,12.54595841988173
2015-2016,belgium,Zaïre_ebolavirus,12.277298273420978
2015-2016,belgium,Postoperatieve_pijn,7.265752165454899
2015-2016,belgium,Hepatitis_B,7.22741199226646
2015-2016,belgium,Halitose,7.098164352539284
2015-2016,belgium,Ziekte_van_Bornholm,6.995012741054528
2015-2016,belgium,Transcorticale_motorische_afasie,6.95566145565654
2015-2016,belgium,Riftdalkoortsvirus,6.773538789881062
2015-2016,belgium,Tracheïtis,6.531763673345116
2015-2016,belgium,Amerikaans_vuilbroed,2.9581018509371915
2015-2016,belgium,Mononegavirales,2.584158365191641
2015-2016,belgium,Third_Cyprinid_Herpesvirus,2.3643342787457313
2015-2016,belgium,Felien_immunodeficiëntievirus,1.992681907624281
2015-2016,belgium,Gele_koorts,0.9688018710797849
2015-2016,belgium,Hemoglobinurie,-0.10219395233228948
2015-2016,belgium,Venezolaanse_equïene_encefalitis,-0.18221167615486147
2015-2016,belgium,Bradykinesie,-0.2676221452916157
2015-2016,belgium,Rigiditeit,-0.4936625910992326
2015-2016,belgium,Dyspepsie,-0.5510786146994312
2015-2016,belgium,Ruimteziekte,-0.6094357969070334
2015-2016,belgium,Japanse_encefalitis,-1.5167324987744504
2015-2016,belgium,Pokkenepidemie_van_1972_in_Joegoslavië,-2.521755085379521
2015-2016,belgium,Pestepidemie_in_Londen,-2.6313860617890374
2015-2016,belgium,Arbovirussen,-2.655252446671134
2015-2016,belgium,Krokodillentranen,-3.0678837873640314
2015-2016,belgium,Blefarospasme,-3.9578619190215503
2015-2016,belgium,Wortelprikkeling,-3.97740548463416
2015-2016,belgium,Voedselinfectie,-4.10742036710255
2015-2016,belgium,Alalie,-4.108226722787019
2015-2016,belgium,Rugpijn,-4.11577517750853
2015-2016,belgium,Satellietvirus,-4.158227137940633
2015-2016,belgium,Septische_shock,-4.822401888958213
2015-2016,belgium,Pest_van_Antoninus,-4.8658833878977905
2015-2016,belgium,Ondergewicht,-5.185313159486178
2015-2016,belgium,Rhizomanie,-5.220866177744351
2015-2016,belgium,Ziektebeeld,-5.485379567458042
2015-2016,belgium,Enterovirussen,-6.303799843177624
2015-2016,belgium,IJshoofdpijn,-6.554642878688974
2015-2016,belgium,Abasie,-7.044696934543721
2015-2016,belgium,Pest_van_Justinianus,-7.1540112999944006
2015-2016,belgium,Subacute_scleroserende_panencefalitis,-7.812424276132835
2015-2016,belgium,Achylie,-8.471913371345643
2015-2016,belgium,Ataxie,-9.64691471999033
2015-2016,belgium,Buikpijn,-10.302084576673025
2015-2016,belgium,Blauwtongvirus,-10.408437463176565
2015-2016,belgium,Coccidiose,-10.704969978569581
2015-2016,belgium,Fructosurie,-12.673529343514872
2015-2016,belgium,Cachexie,-12.897658232663249
2015-2016,belgium,Mozaïekvirus,-14.259131929682976
2015-2016,belgium,Dysenterie,-15.474344335291748
2015-2016,belgium,Kortademigheid,-16.451174327724356
2015-2016,belgium,Winderigheid,-17.31187000549789
2015-2016,belgium,Athetose,-18.367364818623244
2015-2016,belgium,Oedeem,-19.545196049282
2015-2016,belgium,Stand_van_Bonnet,-20.090522322771154
2015-2016,belgium,Acuut_reuma,-20.196655407595376
2015-2016,belgium,Stress,-22.341656322884614
2015-2016,belgium,Anosmie,-44.84220139202858
2015-2016,belgium,year,-48.27047056847965
2016-2017,belgium,Koorts,54.07266138816394
2016-2017,belgium,Mexicaanse_griep,34.48865020427066
2016-2017,belgium,Griep,29.557225319077038
2016-2017,belgium,Flavivirus,18.065730020235907
2016-2017,belgium,Superinfectie,16.6474028731042
2016-2017,belgium,Aziatische_griep,12.283182818720478
2016-2017,belgium,Pandemrix,11.533502114398821
2016-2017,belgium,Cyanovirus,8.907909197695652
2016-2017,belgium,Tremor,6.750079409275679
2016-2017,belgium,Sabinvaccin,5.707837749061939
2016-2017,belgium,Bronchospasme,5.523775679683546
2016-2017,belgium,Acute_buik,4.082109684779415
2016-2017,belgium,Tabaksringvlekvirus,2.923846800757609
2016-2017,belgium,Cytomegalie,0.3645610845280977
2016-2017,belgium,Ebola-uitbraak_in_Congo_in_2014,-1.7903447786772462
2016-2017,belgium,DIVA-vaccin,-2.687108047652095
2016-2017,belgium,Visuele_agnosie,-8.885864331643248
2016-2017,belgium,Achylie,-9.47215942084007
2016-2017,belgium,Tachypnoe,-12.882190708096545
2016-2017,belgium,Hyperpyrexie,-13.683550639500309
2016-2017,belgium,Dysenterie,-14.055864676643914
2016-2017,belgium,Oscillopsie,-20.241461544256328
2016-2017,belgium,Blauwtongvirus,-20.27297985601068
2016-2017,belgium,Athetose,-24.26573226948527
2016-2017,belgium,Rabdomyolyse,-24.989468583544728
2016-2017,belgium,year,-35.94228618540081
2017-2018,belgium,Griep,118.41029837798598
2017-2018,belgium,Lassakoorts,43.222113475320285
2017-2018,belgium,Acute_buik,36.708101809442056
2017-2018,belgium,Flavivirus,29.609412617832874
2017-2018,belgium,Tabaksringvlekvirus,26.555101218254755
2017-2018,belgium,Superinfectie,16.269413544540974
2017-2018,belgium,Mexicaanse_griep,16.23432937860061
2017-2018,belgium,Cyanovirus,14.98334744043976
2017-2018,belgium,Tremor,7.08039308447453
2017-2018,belgium,Aziatische_griep,6.798599423340957
2017-2018,belgium,Postpoliosyndroom,3.166430590685668
2017-2018,belgium,Hoofdpijn,2.8734149970514955
2017-2018,belgium,Riftdalkoortsvirus,2.3200181246508387
2017-2018,belgium,Pandemrix,2.0801810501580715
2017-2018,belgium,ECHO-virus,1.2004370807891687
2017-2018,belgium,Risus_sardonicus,0.5063370258590925
2017-2018,belgium,Infectieuze_bronchitis,0.388209119962087
2017-2018,belgium,Mycovirus,0.10803009397816501
2017-2018,belgium,Aviair_reovirus,-0.30505449890469144
2017-2018,belgium,Orbivirus,-0.45150015699070517
2017-2018,belgium,DNA-virus,-0.4586796264258515
2017-2018,belgium,Xenotropic_murine_leukemia_virus-related_virus,-0.7762348890454666
2017-2018,belgium,Ondergewicht,-1.327162596471198
2017-2018,belgium,IJshoofdpijn,-1.5197036697014905
2017-2018,belgium,Voedselinfectie,-2.135325481031775
2017-2018,belgium,Melena,-2.4547407670398336
2017-2018,belgium,Feliene_infectueuze_peritonitis,-3.287892705598223
2017-2018,belgium,Schmallenbergvirus,-3.3391716684617774
2017-2018,belgium,Groeipijn,-4.136957180020188
2017-2018,belgium,Orsayvirus,-4.701775793865757
2017-2018,belgium,Influenzavirus_A,-7.697388756945792
2017-2018,belgium,Ligamenvirales,-9.273867571894924
2017-2018,belgium,Ataxie,-13.279542785617803
2017-2018,belgium,Athetose,-13.415718169435623
2017-2018,belgium,Osteomyelitis,-15.896498938833856
2017-2018,belgium,Blauwtongvirus,-16.094766034578562
2017-2018,belgium,Oscillopsie,-17.094164560510357
2017-2018,belgium,year,-19.776161265658164
2017-2018,belgium,Zikakoorts,-22.665397970629325
2017-2018,belgium,Tachypnoe,-23.8074324124615
2017-2018,belgium,Amnestische_afasie,-24.663705122692868
2017-2018,belgium,Dysenterie,-32.52585965168574
2018-2019,belgium,Griep,72.63825896403388
2018-2019,belgium,Mexicaanse_griep,35.90905441783598
2018-2019,belgium,Ebola-uitbraak_in_West-Afrika_in_2014,12.283463388319772
2018-2019,belgium,Pandemrix,12.155320666625919
2018-2019,belgium,Flavivirus,9.793848847629913
2018-2019,belgium,Tabaksringvlekvirus,8.117925137513094
2018-2019,belgium,Lassakoorts,4.831669346876189
2018-2019,belgium,Cyanovirus,1.658891820849205
2018-2019,belgium,Aziatische_griep,1.544989264413856
2018-2019,belgium,Cachexie,-1.4250688029624796
2018-2019,belgium,Enterovirussen,-1.531330902666745
2018-2019,belgium,Oscillopsie,-3.65321120530422
2018-2019,belgium,Subacute_scleroserende_panencefalitis,-5.287159361779716
2018-2019,belgium,Melena,-20.107558905723497
2018-2019,belgium,year,-20.78855852954709
2018-2019,belgium,Athetose,-32.27949746187905
