season,country,page_name,value
2015-2016,germany,Erkältung,5.937578081831725
2015-2016,germany,Bradykardie,3.5516962748325938
2015-2016,germany,Schüttelfrost,1.5408921749633084
2015-2016,germany,Dyspnoe,1.3426672319267978
2015-2016,germany,FSME-Impfstoff,1.075080133143964
2015-2016,germany,Ischämie,0.7240766223037595
2015-2016,germany,Hordeolum,0.7133555318208238
2015-2016,germany,Obdormition,0.6936855003480588
2015-2016,germany,Intelligenzminderung,0.5210321651942802
2015-2016,germany,Fieberdelirium,0.508214982542283
2015-2016,germany,Allgemeininfektion,0.4800601370503102
2015-2016,germany,Risus_sardonicus,0.4730562374871298
2015-2016,germany,Palmarerythem,0.3871935191329484
2015-2016,germany,HPV-Impfstoff,0.37755703098736354
2015-2016,germany,Myoglobinurie,0.32172384935035647
2015-2016,germany,Typhusepidemie_in_Gelsenkirchen_1901,0.2645134042056937
2015-2016,germany,Oststaaten-Polio-Epidemie_von_1916,0.20498157458533706
2015-2016,germany,Virophagen,0.19506319764032562
2015-2016,germany,Potato-Spindle-Tuber-Viroid,0.18707408304643858
2015-2016,germany,CAd3-ZEBOV,0.135600950214879
2015-2016,germany,Markerimpfstoff,0.11560220593616866
2015-2016,germany,Wehau-Krankheit,0.0901331060275033
2015-2016,germany,Malariaimpfstoff,0.08566858829022396
2015-2016,germany,Dehnungsstreifen,0.08492131072253709
2015-2016,germany,Unwohlsein_und_Ermüdung,0.05568522491193034
2015-2016,germany,Couperose,0.05055609630290423
2015-2016,germany,Choleraepidemie_von_1892,0.025138329408679817
2015-2016,germany,Schistosomiasisimpfstoff,-0.0040416923671773835
2015-2016,germany,Ketonurie,-0.0252880538791221
2015-2016,germany,Pockenepidemie_in_Boston_1721,-0.029135133844879917
2015-2016,germany,Haffkrankheit,-0.041990063400649584
2015-2016,germany,Choleraepidemie_in_Haiti_ab_2010,-0.0580237317851783
2015-2016,germany,Große_Pest_von_London,-0.0829035446140219
2015-2016,germany,year,-0.08485984290744937
2015-2016,germany,Tränendrüsenentzündung,-0.13660161170132065
2015-2016,germany,Milzbrand-Unfall_in_Swerdlowsk,-0.1452505326936605
2015-2016,germany,Koprophagie,-0.14607247174832363
2015-2016,germany,Pyämie,-0.14830771026219183
2015-2016,germany,Hospitalfieber,-0.15034459348954174
2015-2016,germany,Hexenschuss,-0.15588193310838572
2015-2016,germany,Tumorkachexie,-0.16196978015968488
2015-2016,germany,Cholangitis,-0.16448139614233925
2015-2016,germany,Fleckfieberimpfstoff,-0.1715974959125397
2015-2016,germany,Verspannung,-0.19165831789007198
2015-2016,germany,Adenovirusimpfstoff,-0.19579474995432455
2015-2016,germany,Trypanosomiasisimpfstoff,-0.20805930494066477
2015-2016,germany,Chorioretinitis,-0.2501096160577287
2015-2016,germany,Bürstenschädel,-0.26866959543520974
2015-2016,germany,Adipsie,-0.27264392295510903
2015-2016,germany,Induration,-0.31647262760251516
2015-2016,germany,Attische_Seuche,-0.33501124633998
2015-2016,germany,Typhusimpfstoff,-0.3400274597497266
2015-2016,germany,Epididymitis,-0.34551551324931573
2015-2016,germany,Scheidenausfluss,-0.44908661743838474
2015-2016,germany,Azidose,-0.4822821090597561
2015-2016,germany,Sicca-Syndrom,-0.4866674649891214
2015-2016,germany,Zervizitis,-0.5081225220022653
2015-2016,germany,Cholera-Aufstand_in_Königsberg,-0.5092470966390609
2015-2016,germany,Schlafstörung,-0.5323966720438449
2015-2016,germany,Anorexie,-0.5338902448678682
2015-2016,germany,Ebola-Impfstoff,-0.6383262147944321
2015-2016,germany,Achsensymptom,-0.6458679784152582
2015-2016,germany,Bilirubinurie,-0.6462533880089045
2015-2016,germany,Acetaldehydsyndrom,-0.7972747991685915
2015-2016,germany,Wachstumsschmerzen,-0.8930287330962948
2015-2016,germany,Rhinitis,-1.097451021464864
2016-2017,germany,Erkältung,6.001728178224182
2016-2017,germany,Bradykardie,4.170115058557296
2016-2017,germany,Schüttelfrost,1.7637906656396283
2016-2017,germany,Dyspnoe,1.7071679537553535
2016-2017,germany,Rhinosinusitis,1.2585211507007947
2016-2017,germany,Markerimpfstoff,1.167644003323979
2016-2017,germany,Allgemeininfektion,0.9120212635592386
2016-2017,germany,Couperose,0.7043520987839341
2016-2017,germany,Ischämie,0.5667169936010937
2016-2017,germany,Obdormition,0.5458664967382242
2016-2017,germany,Schistosomiasisimpfstoff,0.5432368749290093
2016-2017,germany,Remune,0.44527967454314743
2016-2017,germany,Modified-Vaccinia-Ankara-Virus,0.4299972332683089
2016-2017,germany,Wehau-Krankheit,0.3654571008887602
2016-2017,germany,Krebsimpfstoff,0.32063250147474265
2016-2017,germany,Tetanusimpfstoff,0.31092632100050516
2016-2017,germany,Diphtherieimpfstoff,0.26510871656548074
2016-2017,germany,Pseudoparese,0.25147508278524844
2016-2017,germany,Virophagen,0.23175562947450207
2016-2017,germany,Liebermeister-Regel,0.23150471031504735
2016-2017,germany,Fieber_unklarer_Genese,0.20085018048559622
2016-2017,germany,Haar-Heterochromie,0.19092151447537872
2016-2017,germany,Myoglobinurie,0.18937263853303835
2016-2017,germany,Kahnbauch,0.15867083973331628
2016-2017,germany,Schwangerschaftsassoziierte_Osteoporose,0.1358408209037886
2016-2017,germany,Cafeteria-roenbergensis-Virus,0.11938481782847232
2016-2017,germany,Palmarerythem,0.10775466045135897
2016-2017,germany,Aggravation,0.0997305653603328
2016-2017,germany,Geonose,0.09332882498715847
2016-2017,germany,Potato-Spindle-Tuber-Viroid,0.07433085515486132
2016-2017,germany,Protothekose,0.05697953341358734
2016-2017,germany,Ebolafieber-Epidemie_2014,0.03890722902510958
2016-2017,germany,Adynamie,0.037149340067231716
2016-2017,germany,Typhusepidemie_in_Gelsenkirchen_1901,0.033109458155944606
2016-2017,germany,Akute_eitrige_Thyreoiditis,0.02132575876628853
2016-2017,germany,Simulant,0.009064811696929874
2016-2017,germany,Rotavirusimpfstoff,-0.005395650651540951
2016-2017,germany,Epididymitis,-0.008828257538528929
2016-2017,germany,Pyogen,-0.05188063728618433
2016-2017,germany,Lokalinfektion,-0.05242900913494579
2016-2017,germany,Adipsie,-0.06404015556793823
2016-2017,germany,Facies_leonina,-0.06875947556902692
2016-2017,germany,Sporotrichose,-0.07656392320786706
2016-2017,germany,Pneumococcusimpfstoff,-0.1043732010975621
2016-2017,germany,Choleraimpfstoff,-0.14814129767313605
2016-2017,germany,Cholera-Aufstand_in_Königsberg,-0.16391910643750102
2016-2017,germany,Englischer_Schweiß,-0.17292803550279257
2016-2017,germany,Kalzinose,-0.1753337743293474
2016-2017,germany,Fieberdelirium,-0.18984704703364091
2016-2017,germany,Achsensymptom,-0.20552989744615036
2016-2017,germany,Sphärozytose,-0.22800919209131454
2016-2017,germany,Acetaldehydsyndrom,-0.23461785074827038
2016-2017,germany,Milzbrand-Unfall_in_Swerdlowsk,-0.2585895794395243
2016-2017,germany,Tumorkachexie,-0.30818685484520564
2016-2017,germany,Trypanosomiasisimpfstoff,-0.32001818739368026
2016-2017,germany,Kardiomegalie,-0.33360541974580415
2016-2017,germany,Rhinitis,-0.3373326652376572
2016-2017,germany,Tränendrüsenentzündung,-0.3590818607743982
2016-2017,germany,Adenovirusimpfstoff,-0.42382802484244403
2016-2017,germany,Vollmondgesicht,-0.4423386422940608
2016-2017,germany,Chorioretinitis,-0.5009562912697126
2016-2017,germany,year,-0.5507502698335743
2016-2017,germany,Zervizitis,-0.5852360770202347
2016-2017,germany,Attische_Seuche,-0.5900745289531678
2016-2017,germany,Hyperorexie,-0.6414565150842536
2016-2017,germany,Sipuleucel-T,-0.6833603582689695
2016-2017,germany,HBsAg,-0.7086724233157636
2016-2017,germany,Typhusimpfstoff,-0.7137291692408321
2016-2017,germany,Cytomegalievirusimpfstoff,-0.7471787640561462
2016-2017,germany,Verspannung,-0.8368395860716232
2016-2017,germany,Neugeborenensepsis,-0.9279114347759712
2016-2017,germany,Paraneoplastisches_Syndrom,-0.9325307383676432
2016-2017,germany,Azidose,-1.0615175313988399
2016-2017,germany,Scheidenausfluss,-1.1863327777857713
2016-2017,germany,Schlafstörung,-1.5672509050167893
2017-2018,germany,Fieber,3.946198689686392
2017-2018,germany,Hordeolum,1.6143906082779689
2017-2018,germany,Markerimpfstoff,0.7945939000685154
2017-2018,germany,Virophagen,0.4626184921595964
2017-2018,germany,Risus_sardonicus,0.38532034777927
2017-2018,germany,Plazentitis,0.28985317371043323
2017-2018,germany,Haffkrankheit,0.28158103402804413
2017-2018,germany,Pertussisimpfstoff,0.12179278672514701
2017-2018,germany,Initialsymptom,0.1208527425495811
2017-2018,germany,Nonnensausen,-0.0015224747427536405
2017-2018,germany,Hamman-Zeichen,-0.005227891149057181
2017-2018,germany,Saegesser-Zeichen,-0.006248204956614117
2017-2018,germany,Chorioretinitis,-0.030570567766721315
2017-2018,germany,Induration,-0.0968238436251678
2017-2018,germany,Ketonurie,-0.135194599665793
2017-2018,germany,Anthroponose,-0.14253369777419878
2017-2018,germany,Diphtherieepidemie_in_Nome,-0.14621894292440338
2017-2018,germany,Akute_eitrige_Thyreoiditis,-0.1723348103537244
2017-2018,germany,year,-0.18100780534462074
2017-2018,germany,Ebola-Impfstoff,-0.23182331815297064
2017-2018,germany,Cyprianische_Pest,-0.2554856975625366
2017-2018,germany,Ebolafieber-Epidemie_in_der_Demokratischen_Republik_Kongo_2014,-0.2762142927821515
2017-2018,germany,Obdormition,-0.30040461314939026
2017-2018,germany,Wachstumsschmerzen,-0.3070398993494287
2017-2018,germany,Zervizitis,-0.32174886413424525
2017-2018,germany,Hakenwurmimpfstoff,-0.34379068684221986
2017-2018,germany,Verspannung,-0.3765692436283234
2017-2018,germany,Pockenepidemie_in_Australien_1789,-0.3802644265918736
2017-2018,germany,Erythema,-0.4103074657665966
2017-2018,germany,Cholera-Aufstand_in_Königsberg,-0.4981456414166026
2017-2018,germany,Symptom,-0.5282051454480157
2017-2018,germany,Dyschylie,-0.5974943427032943
2017-2018,germany,Bürstenschädel,-0.7527279085232705
2017-2018,germany,Anorexie,-0.78395987436195
2018-2019,germany,Erkältung,3.831029818823436
2018-2019,germany,Bradykardie,3.7246782154158318
2018-2019,germany,Fieber,3.284596517106221
2018-2019,germany,Remune,1.3690373690590922
2018-2019,germany,HPV-Impfstoff,1.3281846532930002
2018-2019,germany,Allgemeininfektion,1.296198007260558
2018-2019,germany,Osmotische_Diurese,0.892004235539516
2018-2019,germany,Obdormition,0.7975641704469574
2018-2019,germany,Dyspnoe,0.7948100401050081
2018-2019,germany,Ischämie,0.7680492514252564
2018-2019,germany,Zohlen-Zeichen,0.4721676212094672
2018-2019,germany,Myoglobinurie,0.42224412101499303
2018-2019,germany,Schüttelfrost,0.34956237740557394
2018-2019,germany,Tecemotide,0.3417005776627499
2018-2019,germany,Viszeromegalie,0.337063228440216
2018-2019,germany,Protothekose,0.33639581742329905
2018-2019,germany,Biologische_Schutzstufe,0.24111752639222872
2018-2019,germany,Fieber_unklarer_Genese,0.2364852744439069
2018-2019,germany,Simulant,0.23365363244832135
2018-2019,germany,Virophagen,0.21169154647115754
2018-2019,germany,Oststaaten-Polio-Epidemie_von_1916,0.19575112168843947
2018-2019,germany,Couperose,0.1431287650297961
2018-2019,germany,Tetanusimpfstoff,0.045413629486118906
2018-2019,germany,Biologische_Sicherheitsstufe,0.043724424336427085
2018-2019,germany,Potato-Spindle-Tuber-Viroid,0.019685308230456163
2018-2019,germany,Aggravation,0.018836703478412434
2018-2019,germany,Plazentitis,0.004635362816089017
2018-2019,germany,Otter-Valley-Polio-Epidemie,-0.05347560434957662
2018-2019,germany,Pneumococcusimpfstoff,-0.057918334076995266
2018-2019,germany,Enzootie,-0.06225142879224223
2018-2019,germany,Aortitis,-0.06343570870945218
2018-2019,germany,Chorioretinitis,-0.07266461620300753
2018-2019,germany,Gordon-Syndrom,-0.08293170153101408
2018-2019,germany,Winterbottom-Zeichen,-0.08321146488127289
2018-2019,germany,Tumorkachexie,-0.08440744218088873
2018-2019,germany,Epstein-Barr-Virus-Impfstoff,-0.08587954929809441
2018-2019,germany,Hypochromie,-0.10621736557525671
2018-2019,germany,Herdenzephalitis,-0.10629411765222828
2018-2019,germany,Verspannung,-0.1277224543227959
2018-2019,germany,Initialsymptom,-0.13419617948345688
2018-2019,germany,Bürstenschädel,-0.15272224456421085
2018-2019,germany,Bilirubinurie,-0.1577377954148025
2018-2019,germany,Adenovirusimpfstoff,-0.15941553305626172
2018-2019,germany,Pockenepidemie_in_Australien_1789,-0.1700355111965695
2018-2019,germany,Virusoid,-0.1701264252192756
2018-2019,germany,Cholera-Aufstand_in_Königsberg,-0.1804082198808926
2018-2019,germany,Kopfschmerz,-0.1871143658281397
2018-2019,germany,Choleraepidemie_in_Haiti_ab_2010,-0.20398125624118754
2018-2019,germany,Hospitalfieber,-0.20710287310928632
2018-2019,germany,Vaginalstein,-0.21538722978460337
2018-2019,germany,Anthraximpfstoff,-0.245895590224465
2018-2019,germany,Seitenstiche,-0.251986250728572
2018-2019,germany,Isosthenurie,-0.25296849112827896
2018-2019,germany,Kehr-Zeichen,-0.29369238296040695
2018-2019,germany,Fischwirbel,-0.29640537556884095
2018-2019,germany,Rotavirusimpfstoff,-0.3748683786910814
2018-2019,germany,Saegesser-Zeichen,-0.4710595486249741
2018-2019,germany,year,-0.4825853718685264
