season,country,page_name,value
2015-2016,italy,Febbre,1.7763442506072165
2015-2016,italy,Influenza_di_Hong_Kong,0.8692883549285693
2015-2016,italy,Fago_lambda,0.560155462990554
2015-2016,italy,Influenzavirus_A_sottotipo_H1N1,0.3037970091771968
2015-2016,italy,Contrazione_tetanica,0.30099677105490846
2015-2016,italy,Schmallenberg_virus,0.25014369400404063
2015-2016,italy,Peste_suina,0.22685147536153383
2015-2016,italy,Vaccino_anti_febbre_gialla,0.21614192935233062
2015-2016,italy,Myoviridae,0.20346336372166407
2015-2016,italy,Vaccino_colibacillare,0.18378132094248506
2015-2016,italy,Anossia,0.17438964361961187
2015-2016,italy,Febbre_emoglobinurica,0.16218841677447066
2015-2016,italy,Virus_oncolitici,0.13849636921699227
2015-2016,italy,Febbre_gialla,0.13825291475101809
2015-2016,italy,Anemia_infettiva_equina,0.12135492547136158
2015-2016,italy,Virus_del_sarcoma_di_Rous,0.11574396368885025
2015-2016,italy,Segno_di_Courvoisier-Terrier,0.11251454272433138
2015-2016,italy,Influenza_asiatica,0.11122168343140588
2015-2016,italy,Tembusu_virus,0.10442475103877102
2015-2016,italy,Segno_di_Simmonds-Thompson,0.10422166688361649
2015-2016,italy,Paracoccidioidomicosi,0.0932693682500371
2015-2016,italy,Flaviviruses_tick-borne_encephalitis,0.06659734748180189
2015-2016,italy,Uganda_S_virus,0.05794610272304908
2015-2016,italy,Malattia_del_sudore,0.053318667320890724
2015-2016,italy,Influenza,0.05112433773092372
2015-2016,italy,Segno_di_Rossolimo,0.05019938137983015
2015-2016,italy,Broncorrea,0.047580414550524135
2015-2016,italy,Koutango_virus,0.04199438669961795
2015-2016,italy,Virus_dell'immunodeficienza_felina,0.02548781066606506
2015-2016,italy,Festinatio,0.02443701380162238
2015-2016,italy,Bradipnea,0.023095506468976568
2015-2016,italy,Baiyangdian_virus,0.01770666809310886
2015-2016,italy,Disfagia_lusoria,0.013587345716388664
2015-2016,italy,Fascite_necrotizzante,0.013110289411139944
2015-2016,italy,Ipotonia,0.010874892248382746
2015-2016,italy,Raffreddore,0.007239919473023898
2015-2016,italy,Polyomavirus,0.0007791509724678537
2015-2016,italy,Tsutsugamushi,-0.001208267617477165
2015-2016,italy,Podoviridae,-0.0014214555359578665
2015-2016,italy,Emoglobinuria_da_marcia,-0.0014709460263829443
2015-2016,italy,Encefalite_californiana,-0.002558070006456898
2015-2016,italy,Ecchimosi,-0.004858311495372173
2015-2016,italy,Distomatosi,-0.006874860759069842
2015-2016,italy,Segno_di_Auspitz,-0.00812017242916342
2015-2016,italy,Claudicazione,-0.011629643299566622
2015-2016,italy,Respiro_di_Falstaff,-0.014715790746152552
2015-2016,italy,Israel_turkey_meningoencephalomyelitis_virus,-0.01752834938869939
2015-2016,italy,Lingua_scrotale,-0.020620488905360827
2015-2016,italy,Parametrite,-0.021153872259585947
2015-2016,italy,Vaccino_dell'Haemophilus_influenzae,-0.021752058790717135
2015-2016,italy,Vaccino_antidifterico,-0.025741303137522972
2015-2016,italy,Trasmissione_oro-fecale,-0.026433563815161862
2015-2016,italy,Alitosi,-0.02659469147348155
2015-2016,italy,Diplegia,-0.02786921332789852
2015-2016,italy,Alloherpesviridae,-0.04685793792820408
2015-2016,italy,Epidermodisplasia_verruciforme,-0.0492776169159893
2015-2016,italy,Emoftoe,-0.05338740149272598
2015-2016,italy,Dracunculiasi,-0.05384036333479386
2015-2016,italy,Mixomatosi,-0.060397943989525846
2015-2016,italy,Baculoviridae,-0.062172190965398305
2015-2016,italy,Virus_del_papilloma_umano,-0.0649580109931388
2015-2016,italy,Encopresi,-0.0654948468784401
2015-2016,italy,Arenavirus,-0.06591609955813577
2015-2016,italy,Kedougou_virus,-0.07357290144345631
2015-2016,italy,Arbovirus,-0.07571982065177436
2015-2016,italy,Priapismo,-0.07990345375431787
2015-2016,italy,Febbre_catarrale_dei_piccoli_ruminanti,-0.08051846459460912
2015-2016,italy,Tigna_microsporica,-0.09209419980269096
2015-2016,italy,Flato_vaginale,-0.10288195553089448
2015-2016,italy,Malattia_di_Chagas,-0.14128909011653445
2015-2016,italy,Galattorrea,-0.14785864105523788
2015-2016,italy,Nicturia,-0.1546980377866475
2015-2016,italy,Tachipnea,-0.1756475879284285
2015-2016,italy,Lipoatrofia,-0.18717396242950743
2015-2016,italy,Cacipacore_virus,-0.19358196306143946
2015-2016,italy,Febbre_di_Oroya,-0.1961088234520924
2015-2016,italy,Encefalite_trasmessa_da_zecche,-0.23226340227466563
2015-2016,italy,Cervarix,-0.2340057289879878
2015-2016,italy,Bacillo_di_Calmette-Guérin,-0.2723619546438308
2015-2016,italy,Singhiozzo,-0.3350463489751906
2015-2016,italy,Disfonia,-0.45168751692461845
2016-2017,italy,Febbre,1.549217898342056
2016-2017,italy,Anemia_infettiva_equina,0.7473459385573185
2016-2017,italy,Influenza_asiatica,0.41821929490757065
2016-2017,italy,Influenzavirus_A_sottotipo_H1N1,0.31980460782367726
2016-2017,italy,Fascioliasi,0.2949798548718703
2016-2017,italy,Tosse,0.2894389988788044
2016-2017,italy,Influenza_di_Hong_Kong,0.28657166583659077
