week,Febbre,Influenzavirus_A_sottotipo_H1N1,Influenza_asiatica,Pandemia_influenzale,Influenza_di_Hong_Kong,Fago_lambda,Anemia_infettiva_equina,Succussione,Contrazione_tetanica,Fascioliasi
2018-42,-0.2730356300141576,-0.0801200043737357,-0.21670341335946428,-0.2609393992012502,-0.16898442466624283,-0.2740659340659341,-0.3023785425101215,-0.3596153846153846,-0.25653023447141093,-0.2899558212058212
2018-43,-0.27265219443133554,-0.07827210103329506,-0.2124571288584027,-0.2722260809168258,-0.14419103623649077,-0.23978021978021982,-0.3352732793522268,-0.2519230769230769,-0.272573015220074,-0.30346933471933474
2018-44,-0.2819824602800063,-0.07628205128205127,-0.22094969786052585,-0.2225646813682931,-0.14419103623649077,-0.32549450549450554,-0.36816801619433204,-0.2980769230769231,-0.2779206088029617,-0.2764423076923077
2018-45,-0.2784037281736668,-0.07983571155212946,-0.1721174260983178,-0.23610869942698384,-0.11526541640178002,-0.2340659340659341,-0.29579959514170046,-0.20576923076923076,-0.2404874537227478,-0.30346933471933474
2018-46,-0.28044871794871795,-0.07571346563883877,-0.2124571288584027,-0.22707935405452334,-0.16898442466624283,-0.2054945054945055,-0.2036943319838057,-0.2673076923076923,-0.2939633895516248,-0.16157744282744285
2018-47,-0.2704793927953437,-0.0801200043737357,-0.169994283847787,-0.27448341725994096,-0.14832326764144946,-0.22549450549450553,-0.2036943319838057,-0.23653846153846153,-0.31000617030028793,-0.17509095634095634
2018-48,-0.26408879974830896,-0.07898283308731069,-0.20184141760574878,-0.20902066330960234,-0.1193976478067387,-0.24835164835164839,-0.2760627530364373,-0.23653846153846153,-0.35278691896338954,-0.13455041580041582
2018-49,-0.26894565046405533,-0.07656634410365754,-0.19122570635309485,-0.24965271748567458,-0.16071996185632548,-0.17692307692307696,-0.3352732793522268,-0.32884615384615384,-0.3688296997120526,-0.17509095634095634
2018-50,-0.2599988201982067,-0.07827210103329506,-0.22094969786052585,-0.25642472651501996,-0.1359265734265734,-0.17978021978021982,-0.3550101214574899,-0.11346153846153846,-0.2084018922254216,-0.13455041580041582
2018-51,-0.27329125373603896,-0.082678639768192,-0.229442266862649,-0.19773398159402672,-0.16071996185632548,-0.21692307692307694,-0.3023785425101215,-0.12884615384615383,-0.2244446729740847,-0.16157744282744285
