season,country,page_name,value
2015-2016,netherlands,Koorts,9.327827606326649
2015-2016,netherlands,Griep,8.614713409751053
2015-2016,netherlands,Krim-Congo-hemorragische_koorts,6.55136762223445
2015-2016,netherlands,Cytokinestorm,4.057064205317923
2015-2016,netherlands,Cytomegalie,3.3497111062856186
2015-2016,netherlands,RNA-virus,3.0893799479686392
2015-2016,netherlands,Acrodynie,2.7521668939190573
2015-2016,netherlands,Respiratoir_syncytieel_virus,2.345835366125432
2015-2016,netherlands,Opportunistische_infectie,2.325839054467799
2015-2016,netherlands,Pijngrens,2.2944244541082406
2015-2016,netherlands,Tracheïtis,1.8689962760369934
2015-2016,netherlands,Ziektebeeld,1.6996446160587213
2015-2016,netherlands,Orbivirus,1.6924779029004708
2015-2016,netherlands,Hypovirus,1.6338895322670473
2015-2016,netherlands,Neusvleugelen,1.6015284844297222
2015-2016,netherlands,Influenzavirus_A,1.469362237655686
2015-2016,netherlands,Postpoliosyndroom,1.4338830629383104
2015-2016,netherlands,Latente_infectie,1.4070333876350969
2015-2016,netherlands,Coronavirussen,1.375169693021148
2015-2016,netherlands,Usutuvirus,1.3377377725294797
2015-2016,netherlands,Hepatosplenomegalie,1.260186144258588
2015-2016,netherlands,Koortsstuip,0.9516957793406358
2015-2016,netherlands,Imperatieve_hallucinaties,0.924471200313549
2015-2016,netherlands,Ziekte_van_Bornholm,0.8983881623967844
2015-2016,netherlands,Sabinvaccin,0.4755763135126475
2015-2016,netherlands,Spierkater,0.4082568955799468
2015-2016,netherlands,Amerikaans_vuilbroed,0.36037066011887575
2015-2016,netherlands,Zikakoorts,0.22755014969308923
2015-2016,netherlands,Superinfectie,0.13168203577656576
2015-2016,netherlands,Mazelenvirus,0.1303240604821388
2015-2016,netherlands,Anurie,0.07862737186570803
2015-2016,netherlands,Projectielbraken,0.015163074058909414
2015-2016,netherlands,Cyanovirus,0.0004913028317685146
2015-2016,netherlands,Tandvleesontsteking,-0.0011987007992281641
2015-2016,netherlands,Hypokaliëmie,-0.14767693739085483
2015-2016,netherlands,Bradykinesie,-0.2915817376080441
2015-2016,netherlands,Mozaïekvirus,-0.3769258622763508
2015-2016,netherlands,Subacute_scleroserende_panencefalitis,-0.3918559083389585
2015-2016,netherlands,Pijn,-0.4397882376149128
2015-2016,netherlands,Neglect,-0.5906429472716629
2015-2016,netherlands,Venezolaanse_equïene_encefalitis,-0.6254306339720238
2015-2016,netherlands,Satellietvirus,-0.7370478696481219
2015-2016,netherlands,Weduwnaarspijn,-0.7826639730468002
2015-2016,netherlands,Coxsackievirus,-0.8003965229769401
2015-2016,netherlands,Xenotropic_murine_leukemia_virus-related_virus,-0.8423983390227507
2015-2016,netherlands,Mastoïditis,-0.8429306265635003
2015-2016,netherlands,Rugpijn,-0.8696726335428034
2015-2016,netherlands,Enterovirussen,-0.8797899558413671
2015-2016,netherlands,Blauwe_plek,-1.2288588989828026
2015-2016,netherlands,Akinesie,-1.375956000338408
2015-2016,netherlands,Halitose,-1.4481378306506383
2015-2016,netherlands,Wrat,-1.5333759070055588
2015-2016,netherlands,Mond-en-klauwzeer,-1.569520765735284
2015-2016,netherlands,Osteomyelitis,-1.7226043114803011
2015-2016,netherlands,Winderigheid,-1.9894446635399476
2015-2016,netherlands,Intentietremor,-2.0631002101395115
2015-2016,netherlands,Azotemie,-2.0686826919088337
2015-2016,netherlands,Parvovirose,-2.3225846035344704
2015-2016,netherlands,Oedeem,-2.4085622246871212
2015-2016,netherlands,Niezen,-2.4128566031826155
2015-2016,netherlands,Parotitis,-2.5020607521646054
2015-2016,netherlands,Krokodillentranen,-2.7254048570769314
2015-2016,netherlands,Stress,-2.7878921959391123
2015-2016,netherlands,Wortelprikkeling,-3.0895207878268645
2015-2016,netherlands,Blauwtongvirus,-3.9684141720854726
2015-2016,netherlands,Melena,-4.169739563283089
2015-2016,netherlands,Dysenterie,-4.558254245427826
2016-2017,netherlands,Koorts,16.0550431718665
2016-2017,netherlands,Griep,12.120226497266549
2016-2017,netherlands,Cytokinestorm,4.373813364852024
2016-2017,netherlands,Cytomegalie,3.421947730862791
2016-2017,netherlands,Fructosurie,2.5506771559331884
2016-2017,netherlands,RNA-virus,2.3699533031468283
2016-2017,netherlands,Usutuvirus,1.897844733276147
2016-2017,netherlands,Cyanovirus,1.6956555896671934
